# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24   1186 1984.54 1797.25   0.08  -0.12  22.024  0.021  22.589  22.024  22.181   4.902   0.878  53.558   5.643   0.832  54.532  12.966   0.840  60.565   1.000 1061818994787371 0 1 
1236 24   2702  401.39  786.05  -0.20   0.03  21.895  0.020  22.556  21.774  22.135   5.975   0.801  27.678   7.554   0.710  29.070  24.150   0.645  29.173   0.883 0 0 1 
1236 24   2765  664.14 2063.05   0.06  -0.08  20.359  0.019  20.696  20.342  20.499   3.322   0.993  30.272   3.289   0.991  71.503   5.505   0.989 -57.392   0.955 0 2 1 
1236 24   3815 1324.50 3145.06   0.02  -0.02  19.770  0.019  20.166  19.770  19.958   3.496   0.984  33.203   3.863   0.944  77.390   6.988   0.909 -88.691   1.000 0 4 1 
1236 24   1547  291.62 2974.07  -0.11   0.27  21.545  0.020  22.045  21.468  21.794   5.028   0.890  47.897   5.930   0.830  47.893  14.459   0.788  45.662   0.889 0 0 1 
1236 24   4495 1027.47 3634.98   0.01   0.13  20.729  0.019  21.089  20.712  20.929   4.007   0.858  66.859   4.841   0.724  67.171   8.674   0.698  67.561   0.955 1061818994788399 0 1 
1236 24   1095  703.90 3231.22  -0.10  -0.14  19.482  0.019  19.893  19.141  19.784   6.661   0.952   2.940   8.877   0.940  -2.569  27.328   0.924  -5.600   0.616 0 5 1 
1236 24   4055 1784.47  234.66  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24    805  647.00 1265.50   0.43   0.10  23.153  0.030  23.441  22.915     nan   3.796   0.878 -62.474   3.934   0.874 -42.709   9.036   0.809 -20.849   0.599 0 0 1 
1236 24   3989  106.60  262.61  -0.76  -0.10     nan    nan     nan     nan     nan   3.042   0.890  47.097     nan     nan     nan     nan     nan     nan     nan 1061818994786474 0 1 
1236 24   3824  354.54  771.87  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24   2182  503.54   53.95   0.20   0.27  23.063  0.029  23.075  22.610     nan   4.571   0.808 -12.233   4.855   0.719 -11.055  10.457   0.652 -11.553   0.032 0 0 1 
1236 24   2917 1334.46 1662.10  -0.01   0.01  20.421  0.019  20.764  20.393  20.588   3.505   0.986  11.819   3.572   0.983   6.388   6.225   0.966   9.194   0.931 0 3 1 
1236 24    764 1386.82 2443.81  -0.03   0.80     nan    nan     nan     nan     nan   3.073   0.883  61.910     nan     nan     nan     nan     nan     nan     nan 1061818994787713 0 1 
1236 24   3091 1856.96 3706.76   0.09  -0.08  21.053  0.020  21.295  20.919  21.188   3.903   0.934  14.766   4.099   0.919  13.522   7.283   0.921   3.700   0.666 0 0 1 
1236 24   3904  912.41 3825.32  -0.74  -0.70  22.694  0.024  23.388  22.697  22.972   6.623   0.632 -36.298   7.507   0.697 -27.738  19.636   0.760  -7.079   1.000 1061818994788495 0 1 
1236 24   3500  360.71 1034.59  -0.08  -0.15  19.251  0.019  19.693  18.973  19.556   5.804   0.981  78.192   7.479   0.951 -88.964  22.806   0.864 -77.671   0.674 0 4 1 
1236 24   2331  632.40 2597.03  -0.07   0.05  21.973  0.021  22.345  21.742  22.290   4.583   0.957  16.532   5.181   0.947  43.826  12.959   0.925  49.082   0.671 0 0 1 
# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 25   3706  728.48  392.40  -0.09  -0.13  20.057  0.018  20.486  19.811  20.380   5.784   0.975  49.377   7.268   0.972  71.893  20.052   0.966  79.141   0.691 1061823289753831 0 1 
1236 25   1442   82.19  520.57   0.81   0.43  22.302  0.020  22.998  22.265     nan   7.720   0.722  -5.158   9.576   0.666  -3.448  29.330   0.598  -5.023   0.963 0 0 1 
1236 25   1356 1833.86 1859.99   0.04  -0.26  22.671  0.024  22.822  22.375  22.623   4.140   0.831 -39.067   4.287   0.759 -38.972   8.722   0.724 -38.645   0.376 0 0 1 
1236 25   2972 1604.04 3595.60   0.06   0.22  21.858  0.019  22.363  21.602  22.210   5.762   0.869  28.166   6.815   0.863  27.623  20.120   0.898  21.208   0.727 0 0 1 
