# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24 196651 1698.11 1407.26  -0.02   0.12  23.012  0.030  23.202  23.008  23.082   3.419   0.724 -19.955   3.239   0.487 -19.567   4.351   0.398 -19.202   0.977 0 0 1 
1236 24  43261 1218.36 3128.75  -0.64   0.34  23.544  0.039  23.982  23.513  23.027   8.796   0.437  34.454   4.278   0.710  72.457   8.803   0.680  65.863   0.943 0 0 1 
1236 24  20341 1132.09 3661.30  -0.10   0.24  22.829  0.027  23.125  22.831  22.881   3.264   0.763 -22.556   3.337   0.538 -18.377   5.361   0.461  -9.711   1.000 0 2 1 
1236 24  76621  671.21 3364.16  -0.04  -0.05  22.130  0.021  22.403  22.099  22.272   3.670   0.849   0.372   3.722   0.736   0.183   6.061   0.662  -2.243   0.905 0 0 1 
1236 24  31247 1708.60 3846.12  -0.03  -0.10  22.920  0.027  23.146  22.742  22.779   3.935   0.764  34.903   4.083   0.624  37.496   7.864   0.570  38.818   0.595 0 0 1 
1236 24 105339  244.72 3985.70   0.19  -0.15  21.197  0.019  21.771  21.172  21.605   5.381   0.746  52.990   6.744   0.658  54.356  16.958   0.615  54.539   0.966 0 0 1 
1236 24 124682 1630.49  331.75  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24  51316  169.38 3872.51   0.22  -0.16     nan    nan     nan     nan  21.900   5.104   0.609 -26.611     nan     nan     nan     nan     nan     nan     nan 1061818994788520 0 1 
1236 24 142889  312.21 2484.46  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24 125291  708.50 3703.48   0.23  -1.06     nan    nan     nan     nan     nan   3.138   0.874  14.946     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24  14858 1144.82 1986.66   1.19  -0.67  24.112  0.063  24.112  23.925  23.567   3.413   0.744 -22.086   3.134   0.525 -26.544   4.307   0.424 -28.177   0.000 0 0 1 
1236 24 156211 1641.79 1105.53  -0.10  -0.05  21.112  0.019  21.786  21.113  21.622   4.980   0.818  32.347   6.578   0.746  42.722  17.746   0.729  42.397   1.000 0 2 1 
1236 24 168877  572.97 2952.76   0.95  -1.02  23.380  0.034  23.806  23.382  23.342   5.669   0.467 -21.256   6.144   0.307 -21.137  12.452   0.255 -20.497   1.000 1061818994787996 0 1 
1236 24 151112 1712.31 2718.77  -0.02  -0.06  20.587  0.019  21.242  20.587  20.933   4.671   0.782  64.659   5.957   0.669  67.762  16.051   0.601  77.035   1.000 0 4 1 
1236 24 193207  301.45 1425.70  -0.05  -0.09  21.068  0.020  21.324  21.055  21.146   3.323   0.836  -4.963   3.218   0.702  -5.263   4.816   0.642  -5.552   0.954 0 0 1 
1236 24 160380  969.31 2471.46  -0.53   0.45  23.443  0.035  23.447  23.008  23.294   4.478   0.678 -38.391   4.904   0.513 -38.843  10.404   0.437 -39.358   0.011 1061818994787727 0 1 
1236 24  66640 1398.88 3262.66   1.05   1.05     nan    nan     nan     nan     nan  14.648     nan  55.578     nan     nan     nan     nan     nan     nan     nan 0 0 1 
