id fakeid visit ccd cmodelMag expMag devMag expReff devReff expBA devBA expPosAng devPosAng cmodelMagErr expMagErr fracDev devMagErr nchild parent
1061818994786330 2182 1236 24 23.0631273665 23.0752276414 22.610026846 4.85533252049 10.4566288301 0.71943308995 0.651806869287 -11.0549924103 -11.5532758822 0.152401915376 0.297667944212 0.0317181328363 0.299584558637 0 0
1061818994788023 1547 1236 24 21.5449822298 22.0446316672 21.4682104544 5.93034564144 14.4587113177 0.830229713292 0.787742604708 47.8931470263 45.6619898675 0.105962614012 0.163331250491 0.889297573203 0.16224880529 0 0
1061818994786777 2702 1236 24 21.8954414388 22.5563722184 21.7738278283 7.55373999827 24.1497413541 0.709866252304 0.645244352407 29.0695221976 29.1733135301 0.107490078496 0.256692685162 0.88340882449 0.25515181286 0 0
1061818994788399 4495 1236 24 20.4302979061 21.0645514045 20.4323373381 5.04951807814 13.3403954682 0.710482744739 0.621111895076 65.379337093 52.442038841 0.102017133994 0.111434380778 1.0 0.110411306013 5 0
1061818994789608 4495 1236 24 20.7293844381 21.089343345 20.7115405312 4.84058116294 8.67385558828 0.723729731551 0.698367400514 67.1711605446 67.5605722239 0.10245008356 0.111449714891 0.95533431059 0.110748252805 0 1061818994788399
1061818994788427 3091 1236 24 21.0533185693 21.2947155775 20.9194049823 4.0988489808 7.28306286653 0.919114634519 0.920514989971 13.522294246 3.70007009329 0.104107922365 0.115562933251 0.665960595961 0.115021733852 0 0
1061818994786411 3348 1236 24 22.7502556698 22.9139810093 22.6622947991 3.21687621907 4.64482172399 0.704669396601 0.667709153647 64.0276448065 61.7466166079 0.139398815973 0.216893578785 0.665085555108 0.216343331248 0 0
1061818994788777 3989 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 1061818994786474
1061818994786744 4378 1236 24 21.4054012073 21.7844695829 21.344639961 4.19077216748 8.17927684483 0.892893326444 0.884576407769 83.6487922741 -87.2192283806 0.104752263401 0.131719442816 0.877635329978 0.130888314561 0 0
1061818994787800 2331 1236 24 21.9734218845 22.3453217561 21.7424308441 5.18116983421 12.9589574755 0.947452388723 0.924764783275 43.8259501655 49.081552135 0.10941611754 0.189730976076 0.671430287009 0.189419780111 0 0
1061818994788229 4768 1236 24 20.3010154909 20.8071300331 20.1298903803 6.86738646456 18.7901052343 0.969708369602 0.969090854801 -73.9845064414 -63.2807399856 0.102251163667 0.113728286161 0.792150042581 0.113117918837 3 0
1061818994789528 4768 1236 24 20.4310735844 20.8455660788 20.1808415648 6.56881881869 17.6366671255 0.976945059347 0.988892973013 -83.7451633259 -73.9958370638 0.102340048562 0.11380062064 0.681200247036 0.113296778922 0 1061818994788229
1061818994786623 1442 1236 24 nan 22.0109143191 20.8301406663 16.1547490107 74.1211272645 0.784918413208 0.774665612034 65.8277750669 73.3219239954 nan 0.307534034306 nan 0.302687147383 0 0
1061818994787187 933 1236 24 21.671400279 21.9643505158 21.236834009 6.41495110228 18.62014819 0.971527758373 0.978708272948 48.1454203048 35.794882977 0.10559674678 0.170814000344 0.476294223334 0.170982418212 0 0
1061818994787195 2983 1236 24 20.7269102852 21.0362692932 20.6566076423 3.74848629881 6.59880592909 0.963549693728 0.969608873276 50.0911560312 46.6143193674 0.102786299432 0.110010885111 0.829545710774 0.109380520876 0 0
1061818994789600 2972 1236 24 22.2158931364 22.5454248043 21.8586788563 6.17050938155 17.4696187467 0.833610589927 0.794261594211 60.7834819773 58.9217213041 0.111836819604 0.232817048039 0.549746818437 0.233117397764 0 1061818994788364
1061818994787700 3671 1236 24 19.9592072597 20.1043698735 19.7433721986 4.08067372893 7.11539046019 0.986311011137 0.99424159978 45.0319531851 57.5287168158 0.103262961048 0.105042799486 0.423283778941 0.104472535106 0 0
1061818994786946 3500 1236 24 19.2514130757 19.6934964754 18.9733092975 7.47904497337 22.8062946367 0.950871258124 0.864498644814 -88.9636140423 -77.6713364791 0.102371793831 0.104428481689 0.6744707617 0.103847926513 4 0
1061818994788997 3500 1236 24 19.509083935 19.7141524161 19.0944601066 7.26695657862 18.960900969 0.962671450703 0.964344667521 82.2613899815 83.4078957067 0.102399409734 0.104433450284 0.380929051573 0.10389583141 0 1061818994786946
1061818994787816 2736 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
1061818994788207 2722 1236 24 19.5080149947 19.852883414 19.2175340916 7.16743385383 18.8185874067 0.982241901346 0.986932388029 53.9565696914 54.6817862 0.101960765935 0.10449299606 0.597595025096 0.103974405195 0 0
1061818994786695 1725 1236 24 21.9204309048 22.1452899152 21.8886746252 2.5848763907 3.68219910411 0.964013291906 0.943556853845 -1.68597054491 -46.2829163363 0.111221467877 0.137412028613 0.881881098894 0.13669685841 0 0
1061818994786368 1214 1236 24 20.0942119684 20.5620933073 20.0236107174 5.58751575332 12.4831211398 0.953298907362 0.970895671 67.1005495554 60.6809982342 0.100907126652 0.106855603293 0.887115577367 0.106177810005 2 0
1061818994788728 1214 1236 24 20.1067153144 20.5674024816 20.030010685 5.52303297865 12.2661729348 0.963769360314 0.990626387395 71.3406828828 76.4158794179 0.100914381612 0.106860105107 0.877137328605 0.106190172845 0 1061818994786368
1061818994789638 3904 1236 24 22.6942523382 23.3883877812 22.696615779 7.50736584841 19.635783706 0.696618824845 0.759812047827 -27.7375853438 -7.07949367067 0.125696837873 0.499969470938 1.0 0.490664194515 0 1061818994788495
