ID,NAME,RA,DEC,Z_LAMBDA
33,RMJ141424.1-002239.5,213.60024185108855,-0.3776437738556696,0.13761522
378,RMJ144032.0-013727.1,220.13341330676081,-1.62418757631147,0.3335503
1234,RMJ142624.3-012657.2,216.60105050737917,-1.4492084524936852,0.45427716
1683,RMJ142721.9+005643.8,216.84120729764805,0.9455020744079661,0.29222113
1827,RMJ143743.2-001512.5,219.43003763106617,-0.25347540039214356,0.13470171
3539,RMJ141514.0-013703.7,213.8082824688156,-1.617703429225183,0.15156923
3599,RMJ143042.1+004903.0,217.67539371803537,0.8175109481684933,0.32844713
4592,RMJ141452.6+001146.4,213.71904415379845,0.1962086954996674,0.1229527
4657,RMJ142859.0+014359.9,217.24572664277764,1.7332968043308326,0.31668806
5112,RMJ142458.3+010913.0,216.24292059839496,1.1536153486828284,0.2970143
5697,RMJ142452.4+001328.7,216.21832258872524,0.22465132630310183,0.33565983
7301,RMJ143237.6+012700.0,218.15654710596635,1.4500127291394593,0.4861969
7478,RMJ143613.7-001609.6,219.05687702085,-0.2693387147290441,0.21212786
7504,RMJ143353.3-015616.3,218.4722734289076,-1.937850695930231,0.3655241
7574,RMJ142229.3+012605.9,215.62196898408317,1.4349846285331254,0.274149
7763,RMJ143133.0-011018.7,217.88765999412584,-1.1718518040083348,0.40614262
8648,RMJ142724.1-001455.1,216.850325144506,-0.24864548908479614,0.16804743
8731,RMJ144158.9+010740.0,220.4952089225927,1.1277701559359035,0.3941598
8954,RMJ143019.0+012935.6,217.57929286569407,1.4932265603372101,0.2983644
10027,RMJ144204.2-004859.0,220.51740718440564,-0.8163901085726861,0.13643442
10305,RMJ143121.2-005344.3,217.83820509874474,-0.8956478121392324,0.38096097
10445,RMJ143310.6-015542.8,218.29427133668318,-1.928562867697901,0.39807582
10982,RMJ143125.4-004900.3,217.85586079977395,-0.8167580858986582,0.42133534
11595,RMJ141828.4+004707.5,214.61842901341362,0.7854095274796121,0.3308203
11702,RMJ143735.6-003324.2,219.39843294424898,-0.556710227282292,0.1720113
11839,RMJ143445.4+014519.1,218.68919809314858,1.7553022553727289,0.27213532
12349,RMJ142020.0-003502.1,215.0835306710925,-0.5839137323728267,0.32980263
12850,RMJ142818.0+004331.0,217.07509600010468,0.7252910730004444,0.34355035
13144,RMJ142447.5+012010.6,216.19780267120663,1.336276259394632,0.28375036
13763,RMJ142712.1-002742.4,216.80041355987618,-0.4617777722914249,0.3079866
14039,RMJ142010.8+013703.0,215.04495435696822,1.6175093806821175,0.18159148
15766,RMJ142545.3+002320.2,216.43868785101887,0.3889435077351603,0.31714594
16345,RMJ143542.5-015948.4,218.92705786864406,-1.996773020659606,0.4287442
16839,RMJ142647.0-001752.4,216.69595588621124,-0.29789869414549086,0.31959447
17292,RMJ142319.5-003220.3,215.8313157399565,-0.5389624213509536,0.2799814
17477,RMJ143650.9-004201.0,219.21216320463466,-0.7002773502824661,0.21437007
18232,RMJ141838.8-013815.6,214.66176148711907,-1.6376657871754448,0.18877387
18345,RMJ142631.6+010515.2,216.6316316917455,1.0875601320425874,0.28140944
18515,RMJ143521.6-010138.6,218.8399428003899,-1.0274009046713204,0.2629164
18939,RMJ142503.5+000123.7,216.26456357683531,0.023242237504190223,0.34781373
19221,RMJ144326.7+000040.7,220.86120767174702,0.011302772572489442,0.2517079
19635,RMJ143511.3-001736.0,218.79727611419014,-0.2933451955926175,0.21316236
19758,RMJ142751.6+002905.8,216.9648854640548,0.48495816363349614,0.30424574
20646,RMJ143828.4-011232.5,219.61821422060518,-1.2090169364635748,0.29182
21087,RMJ142813.7-012919.9,217.05706881808135,-1.4888542565659952,0.39217708
21302,RMJ143945.2-000730.8,219.93843850724483,-0.12523450328383026,0.31489974
22161,RMJ142036.2+005259.2,215.15101509433526,0.8831243574498355,0.34748986
23965,RMJ142633.4-000632.4,216.63903067755632,-0.10899367227470744,0.28729853
24732,RMJ143305.7+002356.4,218.27361469123773,0.3990119125474565,0.42028803
24896,RMJ143821.4+005308.0,219.58900296123846,0.8855639542442566,0.269847
24930,RMJ142112.0-013844.0,215.2999358134187,-1.6455520681073241,0.27664903
25533,RMJ142823.4-014830.0,217.09733567654948,-1.8083330868547514,0.28633574
25561,RMJ142706.6+004314.8,216.77754099424232,0.7207810268132558,0.2786208
26324,RMJ144020.2-014409.8,220.08428335838093,-1.736063337716352,0.40929988
26777,RMJ143621.0+012159.8,219.0874512605972,1.3666041130135609,0.32773575
27590,RMJ141223.8+003823.0,213.09930747968403,0.6397103851797612,0.2559882
27698,RMJ143539.3+001406.5,218.91366286130315,0.23514443958605719,0.41385797
27773,RMJ143205.7+010654.3,218.02360803446294,1.115076715328538,0.33716512
28129,RMJ142058.7+001343.7,215.24446645556827,0.22879658384289026,0.26863253
28868,RMJ144211.7-001021.2,220.54865345764892,-0.1725489108314085,0.3441355
32462,RMJ144052.8+011849.0,220.22004157183915,1.3136115223826068,0.28263447
33039,RMJ143521.8+010520.2,218.84066627594905,1.0889417245374668,0.45969853
33040,RMJ141914.5+013936.2,214.81050844327333,1.6600436720326937,0.38768327
33254,RMJ141751.8+011821.1,214.46598034294837,1.3058644759170153,0.44138858
33704,RMJ142905.4+005844.2,217.27266820660367,0.9789529613904742,0.4274948
35360,RMJ143653.5-001458.4,219.22302261441135,-0.24956229474262354,0.34703374
35712,RMJ142346.9+005505.9,215.9453324102591,0.9183122282535774,0.46704417
35753,RMJ142845.4+010953.6,217.18904043076606,1.1648754134617816,0.32742986
37916,RMJ143641.0+004213.1,219.17088407687152,0.7036429495842376,0.3640825
47001,RMJ142848.8-002420.8,217.20329343500396,-0.4057724728042547,0.3150627
50594,RMJ143110.1+011009.4,217.79209783052437,1.169285840414585,0.47846842
74577,RMJ144060.0-005515.4,220.2499745772443,-0.9209396113163268,0.45992246
78695,RMJ143033.5+010628.9,217.63952296359645,1.108040343239353,0.49372575
