ID,RA,DEC
1303,334.9912789580178,-1.4816747754715451
2169,335.51782960173153,-1.078736821944486
2839,335.0007035363287,0.26663596166577525
3154,335.21476898845265,0.9709743712809742
3629,335.54584018236596,-0.9738275050693092
5254,333.6778352388367,1.4962401370089748
5542,333.1041935228085,1.7722724757214983
5924,333.43426236085264,-0.19638702874792247
6667,333.04774199247356,-0.13911865911563479
6857,334.94269652456796,0.881702256894958
6937,335.1780267250239,0.7380373619556548
10269,335.35766902709713,0.7978453163874915
11198,333.816613666541,-0.8813579591803951
11684,333.59308041438203,0.7849184242075958
11967,334.79635371811946,0.7446047844115837
12419,335.3824435693377,1.2833070572387444
12755,335.5736365887075,0.6119240076190493
13194,333.33820097482277,-0.24557967259846836
14401,334.984152305658,1.3936420226464876
16935,334.297616291941,-0.6417354566484503
18264,333.60311206711106,-0.91007619349451
18328,333.67984065788744,1.1532391337148706
18505,333.36695202031524,0.5442522367634153
19817,334.083154775459,0.3717821666781709
20026,333.9810194528758,-0.7757775128968809
23427,334.00262160574306,1.4166091863840724
23769,333.6517899061623,0.41795398454727706
24353,334.3471897455417,-0.1712532923344787
26676,334.50930985222305,0.8526052889025305
29532,333.2766852152529,-0.30847218881114546
30666,333.46715393379964,0.9569301216865542
31272,335.3380242156163,-0.7751409041022729
33156,332.8481423374755,-0.06415010934348737
34019,334.9061956024855,-0.7890094827840879
36708,333.3479064521083,-1.4351730461989565
46976,335.38436643066717,0.42699967031859226
