id fakeid visit ccd cmodelMag expMag devMag expReff devReff expBA devBA expPosAng devPosAng cmodelMagErr expMagErr fracDev devMagErr nchild parent
1061818994787254 14081 1236 24 21.1942514325 21.2508131251 20.8175692461 5.78834389995 11.8600502649 0.485657571973 0.453754196147 23.2154075435 21.8170757963 0.10423594953 0.115867200438 0.148074924083 0.115590184893 2 0
1061818994789113 14081 1236 24 21.2419240572 21.2417254932 20.8534837998 5.8447196242 11.61541205 0.487900073367 0.420429879504 23.0596965286 22.8057591577 0.104417974984 0.115840909104 0.0 0.115639499832 0 1061818994787254
1061818994787003 173190 1236 24 22.0282495816 22.1592322895 21.7646465057 3.99080611883 7.35687193651 0.898172722732 0.901259750183 23.7635982669 16.7448707702 0.111111434528 0.152831890814 0.36140409349 0.152826101074 0 0
1061818994787725 198281 1236 24 20.3361465257 20.6959364452 20.2893490796 4.73447744115 8.91765374822 0.696638483266 0.662357016527 6.03046875615 5.97998570436 0.102639650014 0.107232070744 0.894677123708 0.106605278276 2 0
1061818994789278 198281 1236 24 20.3513126849 20.6975611779 20.2969609249 4.71785064457 8.78116437828 0.698519306239 0.669278709881 5.88940192201 4.92100603266 0.102654564734 0.107232736429 0.875639991636 0.106613100207 0 1061818994787725
1061818994788478 190347 1236 24 22.2228366845 22.753788761 22.000869308 7.01070023683 20.8191881103 0.856318700278 0.86382702938 43.3337604629 38.6735650537 0.111725880906 0.30006026796 0.765579655189 0.299476238539 0 0
1061818994786412 91918 1236 24 20.8789129603 21.0919288194 20.6094102344 7.51584244129 17.1413792385 0.432070457344 0.36525535819 -25.9048160935 -26.0675598463 0.100993860435 0.114271517994 0.482101875406 0.113860324724 0 0
1061818994788495 186255 1236 24 20.9582208101 21.2944990028 20.8894634019 4.99111908564 9.52167210015 0.573758583877 0.533561026712 -36.8748935 -35.6205880542 0.102664737143 0.114120096113 0.845313174415 0.113481894097 3 0
1061818994789633 186255 1236 24 21.2343725091 21.3718858508 21.0621570758 4.62798999706 7.87907603966 0.534396367633 0.460787135971 -40.9436115594 -41.5856891595 0.103638399946 0.114333441056 0.462495310366 0.113920417962 0 1061818994788495
1061818994787802 91921 1236 24 21.5661497318 21.9579653871 21.392088093 5.33394079335 12.7590500541 0.882874610099 0.852677455847 37.7568022196 39.9579672392 0.105867163856 0.15184200727 0.736141810827 0.151248119593 0 0
1061818994788952 177427 1236 24 21.0431622891 21.2235002341 20.7370540598 6.33937487333 14.3188622204 0.543658342146 0.478316594886 -82.1936604691 -82.2044455712 0.103288838418 0.116894088384 0.411217981108 0.116536588018 0 1061818994786911
1061818994786376 101908 1236 24 23.158133314 23.4265995946 23.1074580176 3.3598099306 5.39934731942 0.570855749381 0.560011637041 -38.4153970213 -38.4903864888 0.169246372784 0.311632559834 0.854524781363 0.31033751593 0 0
1061818994788377 190742 1236 24 22.0484654945 22.0478702053 21.5172453917 6.30042360239 15.4280716165 0.58056520404 0.506059083455 49.0377491828 49.7316894744 0.109154093221 0.156274970751 0.0 0.157348698658 0 0
1061818994789591 62487 1236 24 21.9140439622 21.9136103145 21.3121253723 7.30291138227 19.4215073378 0.491191804312 0.436266051059 -86.4295320191 -86.3159288698 0.107551712719 0.151647598575 0.0 0.152467114439 0 1061818994788367
1061818994787896 104861 1236 24 21.4479073661 21.8139843864 21.2871038217 5.31330772125 12.1840253362 0.812409745967 0.767578672735 -20.0863560557 -18.1985812683 0.106132804489 0.140063877139 0.733826394851 0.139461326572 0 0
1061818994787633 91935 1236 24 22.8860661472 22.8857400187 22.5227274187 4.68105346404 8.88573194203 0.541307717927 0.457911458349 -23.0123123265 -23.636852886 0.139071538207 0.230935087849 0.0 0.232622215122 0 0
1061818994788431 79648 1236 24 22.2197830927 22.3943188237 21.9952637232 5.2552966485 10.0976788794 0.565635409648 0.527082187741 26.5325743702 26.0427740431 0.11488710448 0.17708250743 0.470038339413 0.177047935717 0 0
1061818994786330 113828 1236 24 23.2106798334 23.2514888801 22.8964057517 4.00176278711 7.19082987065 0.804240671443 0.744033173917 18.5734273415 17.3195759823 0.170182959426 0.316656290901 0.128532602755 0.318270411002 0 0
1061818994789484 194085 1236 24 21.8146294794 22.0973775615 21.4525383587 7.2004389499 19.6505013654 0.528202248318 0.490314721026 -87.3977314316 -88.3584724267 0.107049552466 0.168813088962 0.501470423169 0.168912812899 0 1061818994788192
1061818994788175 177581 1236 24 20.190040605 20.4072238491 20.1028401634 4.56689353475 7.41325692847 0.49889142367 0.453161889137 85.7133860525 86.2016714543 0.102351510589 0.104580823177 0.724071478463 0.104029987658 4 0
1061818994789474 177581 1236 24 20.214135086 20.4090416929 20.1182753557 4.55294714845 7.26114577372 0.499124777786 0.447400232758 85.6331286205 85.6689393387 0.102371275751 0.104581486941 0.680514630523 0.104035638273 0 1061818994788175
1061818994786745 97327 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 0
1061818994786694 63920 1236 24 21.962935373 22.1614139877 21.6934402627 4.54759723093 9.52547373211 0.899058399875 0.869493989691 -88.8726049907 -79.6209304998 0.109689532781 0.162446260923 0.465913363657 0.162377836806 0 0
1061818994788988 162738 1236 24 21.8341609622 22.0327224688 21.7046454556 3.91838469289 6.67591038754 0.698281025634 0.637740031148 -7.93686374635 -9.65807781106 0.109614213093 0.138593572749 0.626434828439 0.138093146216 0 1061818994786932
1061818994788231 84787 1236 24 22.4039304055 22.40358534 22.0559776064 3.9305254864 6.98023268222 0.811888428537 0.768637299589 56.5436349619 58.8301911026 0.119486848003 0.168587440563 0.0 0.169385401567 0 0
