# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24   1377  441.19 1111.46   0.02  -0.01  17.400  0.019  17.463  17.182  17.430   4.407   0.996  51.732   5.000   0.994  49.640   7.738   0.999  33.144   0.216 1061818994786947 0 1 
1236 24   2097 1792.33   76.45   0.05  -0.03  16.522  0.019  16.545  16.308  16.534   4.881   0.986 -85.524   5.614   0.986 -88.387   8.341   0.986 -75.795   0.082 0 0 1 
1236 24     21 1742.29 1634.43   0.01  -0.03  17.217  0.019  17.298  17.046  17.257   4.218   0.994  11.170   4.731   0.996  25.395   6.833   0.994  44.738   0.304 0 2 1 
1236 24    850  850.52 3484.92  -0.05  -0.06  17.805  0.019  17.848  17.586  17.821   4.059   0.980  35.919   4.306   0.971  41.113   6.359   0.993  76.349   0.159 0 2 1 
1236 24   3698  696.41 2471.92  -0.01  -0.05  16.469  0.019  16.529  16.351  16.494   4.128   0.996  27.906   4.724   0.994  58.447   5.854   0.998 -62.880   0.280 1061818994787707 0 1 
1236 24   4189  868.07 2666.97   0.01  -0.04  18.507  0.019  18.628  18.302  18.573   4.128   0.992   6.305   4.549   0.994   6.177   7.525   0.987 -29.098   0.379 0 2 1 
1236 24    980   41.68  820.27   0.32  -0.27  18.710  0.019  18.760  18.358  18.723   4.619   0.993  65.872   5.252   0.981  49.305  10.097   0.983  49.655   0.135 0 0 1 
1236 24   2677 1987.51  702.59   0.02  -0.05  17.414  0.019  17.502  17.255  17.460   4.108   0.993  26.101   4.598   0.983  17.698   6.512   0.979   1.670   0.340 0 0 1 
1236 24    262 1426.21 2190.78   0.00  -0.06  17.373  0.019  17.461  17.223  17.416   4.041   0.993  24.956   4.515   0.992  49.311   6.237   0.999 -21.118   0.345 0 0 1 
1236 24    286 2015.06 1550.77  -0.06   0.23     nan    nan     nan     nan  16.654   6.057   0.831  49.069     nan     nan     nan     nan     nan     nan     nan 0 12 1 
1236 24   4836  802.19  655.90   0.03  -0.06  18.031  0.019  18.061  17.874  18.033   3.568   0.992  70.690   3.467   0.990  55.601   4.349   0.993  60.025   0.148 0 0 1 
1236 24   2800 1884.80 3977.69  -0.06  -0.09  18.729  0.019  18.829  18.494  18.781   4.196   0.984  35.289   4.613   0.976  45.396   7.772   0.977  44.681   0.308 0 0 1 
1236 24   4195 1564.00  679.70   0.01  -0.04  18.881  0.019  18.989  18.636  18.947   4.247   0.993  88.371   4.641   0.995  70.935   8.086   0.993 -54.274   0.320 0 0 1 
1236 24   1234 1042.44 2670.30  -0.01  -0.02  17.006  0.019  17.031  16.867  17.003   3.917   0.991  20.754   4.084   0.989  25.411   5.014   0.986  12.245   0.130 1061818994787804 0 1 
1236 24   2564   59.04 2850.65  -0.04  -0.04  18.843  0.019  18.960  18.617  18.900   4.133   0.989  23.327   4.502   0.992  26.415   7.672   0.992  -2.203   0.354 0 0 1 
1236 24   3686  688.02 2738.31  -0.02  -0.02  16.864  0.019  16.902  16.658  16.875   4.625   0.993  19.625   5.306   0.992  25.785   7.886   0.988 -10.777   0.140 1061818994787861 0 1 
1236 24   4702 1793.21 2146.04  -0.01  -0.04  18.263  0.019  18.342  18.013  18.300   4.356   0.990  12.183   4.821   0.992  12.069   8.097   0.990 -14.976   0.247 1061818994787555 0 1 
1236 24    738 1513.69  828.80   0.00  -0.05  17.513  0.019  17.537  17.223  17.519   4.766   0.996  88.958   5.408   0.999 -77.290   9.119   0.993 -33.662   0.076 0 0 1 
# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 25    472  530.63 2872.57  -0.05  -0.09  17.208  0.018  17.243  17.096  17.205   3.596   0.980  20.448   3.572   0.979  30.117   4.097   0.979  31.381   0.195 1061823289755237 0 1 
1236 25   2327  208.04 1005.52  -0.02  -0.04  17.751  0.018  17.846  17.547  17.809   4.192   0.991  18.072   4.711   0.995  54.538   7.453   0.991 -89.512   0.316 0 4 1 
1236 25   3648  149.23 3418.16  -0.21  -0.13  18.247  0.018  18.370  18.085  18.293   3.949   0.963 -67.984   4.387   0.938 -70.780   6.703   0.925 -67.716   0.432 1061823289755535 0 1 
1236 25   4419 1768.29 3640.45  -0.02  -0.05  18.587  0.018  18.624  18.384  18.585   3.692   0.978   4.309   3.597   0.997  20.104   5.082   0.994 -69.043   0.141 0 0 1 
1236 25   4621  401.00 2275.62  -0.04  -0.07  18.162  0.018  18.293  17.977  18.235   4.064   0.997  18.867   4.557   0.985 -82.451   7.424   0.961 -70.948   0.416 0 0 1 
1236 25   2836  323.28 1436.99  -0.01  -0.06  16.885  0.018  16.913  16.729  16.889   4.034   0.988  19.973   4.308   0.995  45.064   5.537   0.996 -88.475   0.135 0 2 1 
1236 25    895  180.57 2553.62  -0.03  -0.07  16.951  0.018  16.992  16.730  16.961   4.599   0.992  24.034   5.288   0.994  56.701   8.076   0.995 -82.158   0.147 0 0 1 
1236 25   2912 1123.24  746.79  -0.03  -0.07  17.227  0.018  17.258  17.006  17.232   4.387   0.991   4.977   4.850   0.996  45.157   7.241   0.997 -86.511   0.116 0 2 1 
1236 25   2878 1225.05 1495.46  -0.03  -0.06  18.318  0.018  18.347  18.149  18.315   3.530   0.987   7.576   3.386   0.995  48.465   4.378   0.991  86.468   0.140 0 0 1 
1236 25   1523 1089.14 1261.51  -0.02  -0.02  16.613  0.018  16.774  16.515  16.562   4.104   0.992  66.134   5.362   0.883  71.737   7.903   0.798  71.912   0.583 0 4 1 
1236 25   1457 1508.61 1482.20  -0.06  -0.05  18.467  0.018  18.565  18.243  18.516   4.157   0.997  21.155   4.600   0.987  76.481   7.607   0.979  84.052   0.310 1061823289754406 0 1 
1236 25   2965  454.56 2803.75  -0.09  -0.01  18.673  0.018  18.790  18.407  18.727   4.442   0.949 -39.195   5.209   0.883 -45.448   9.827   0.836 -46.864   0.320 0 0 1 
1236 25   2121 1455.56 3562.94  -0.05  -0.07  17.255  0.018  17.326  17.071  17.287   4.313   0.990  29.438   4.878   0.982  68.722   7.162   0.979  81.192   0.249 0 2 1 
1236 25   1932 1468.78  499.80  -0.06  -0.05  18.040  0.018  18.179  17.858  18.117   4.048   0.994  42.006   4.524   0.981  61.394   7.378   0.966 -73.480   0.437 0 5 1 
1236 25   4436  158.41 3424.84  -0.34  -0.38  18.765  0.018  18.864  18.511  18.795   4.622   0.893  44.887   5.097   0.891  50.367   8.986   0.888  52.781   0.291 1061823289755535 0 1 
1236 25   2339  424.07  695.21   0.00  -0.03     nan    nan     nan     nan  17.465   4.100   0.995 -16.873     nan     nan     nan     nan     nan     nan     nan 0 20 1 
1236 25   4813  368.04 3677.97   0.00  -0.04     nan    nan     nan     nan  17.282   4.457   0.979  38.303     nan     nan     nan     nan     nan     nan     nan 0 20 1 
1236 25   2321 1653.72 2208.02  -0.04  -0.04  17.897  0.018  18.148  17.772  18.008   4.169   0.987  31.457   5.115   0.918  35.916   9.348   0.840  28.095   0.674 0 3 1 
1236 25   4669 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   4.045   0.990  38.314     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 25   1570  990.64 3606.44  -0.05  -0.05  17.698  0.018  17.801  17.536  17.747   4.042   0.992   9.113   4.482   0.992 -81.718   6.586   0.983 -66.031   0.367 0 0 1 
1236 25   4595 1728.58 4116.63  -0.06  -0.09  16.675  0.018  16.751  16.559  16.706   4.076   0.993  21.162   4.636   0.983  80.426   5.897   0.975 -88.235   0.323 1061823289755937 0 1 
1236 25   2318   29.50 1538.71  -0.50   0.29  17.598  0.018  17.673  17.350  17.633   4.473   0.989 -22.933   5.111   0.992 -59.204   8.628   0.972 -39.562   0.238 0 2 1 
1236 25   3655  841.00 1773.96  -0.03  -0.07  18.386  0.018  18.417  18.192  18.387   3.642   0.982  14.661   3.566   0.991  31.816   4.871   0.995  51.451   0.134 0 0 1 
1236 25   4075  924.68 3351.98  -0.03  -0.05     nan    nan     nan     nan  18.534   4.004   0.991  28.106     nan     nan     nan     nan     nan     nan     nan 1061823289755502 0 1 
1236 25    520  988.52 1981.45  -0.05  -0.05  17.173  0.018  17.262  17.030  17.221   4.014   0.998  26.343   4.551   0.987  83.852   6.247   0.981 -86.368   0.353 0 2 1 
1236 25    242  770.72  160.40  -0.06  -0.02  16.658  0.018  16.725  16.529  16.692   4.111   0.995  14.809   4.703   0.992  56.918   6.054   0.993  88.177   0.296 1061823289753693 0 1 
1236 25   2973 1514.65 2413.38  -0.06  -0.05  17.792  0.018  17.904  17.632  17.851   3.989   0.997  20.521   4.458   0.985  75.579   6.592   0.984  83.271   0.397 0 2 1 
1236 25   3439 1182.22 2757.13  -0.02  -0.06  17.482  0.018  17.579  17.329  17.533   3.999   0.996  -2.335   4.487   0.986 -86.749   6.388   0.977 -76.394   0.363 0 0 1 
1236 25    351  626.55 3546.47  -0.04  -0.07  18.036  0.018  18.070  17.860  18.027   3.697   0.984  20.429   3.656   0.994  50.703   4.853   0.994 -89.590   0.144 0 0 1 
1236 25   4557 1903.08 1234.99  -0.03  -0.05     nan    nan     nan     nan  16.549   4.237   0.994  13.640     nan     nan     nan     nan     nan     nan     nan 1061823289754278 0 1 
1236 25   4339  182.05 1780.21  -0.07  -0.06  18.324  0.018  18.426  18.102  18.380   4.160   0.990  24.860   4.615   0.993  61.398   7.633   0.992 -79.426   0.326 0 0 1 
1236 25   2585 1083.86 4009.87  -0.04  -0.07  17.913  0.018  17.954  17.586  17.920   4.888   0.984  13.680   5.598   0.991  29.213  10.247   0.997  33.716   0.106 0 0 1 
1236 25   1377  441.19 1111.46  -0.01  -0.08  17.385  0.018  17.445  17.163  17.418   4.418   0.987 -48.796   5.032   0.982 -60.929   7.863   0.973 -58.402   0.205 0 0 1 
1236 25   2097 1792.33   76.45  -0.01  -0.03  16.553  0.019  16.593  16.341  16.547   4.852   0.992   5.563   5.675   0.983  30.519   8.725   0.967  20.685   0.148 0 3 1 
1236 25     21 1742.29 1634.43  -0.02  -0.05  17.243  0.018  17.314  17.066  17.270   4.187   0.997  31.461   4.741   0.987  71.361   6.827   0.983  82.887   0.271 0 0 1 
1236 25    850  850.52 3484.92  -0.03  -0.07  17.832  0.018  17.869  17.619  17.833   4.031   0.984  11.193   4.214   0.995  18.910   6.135   0.998 -42.337   0.136 0 0 1 
1236 25   3698  696.41 2471.92  -0.02  -0.07  16.458  0.018  16.521  16.338  16.487   4.131   0.995  24.404   4.749   0.992  72.248   5.970   0.991  89.725   0.286 0 0 1 
1236 25   4189  868.07 2666.97  -0.05  -0.06  18.529  0.018  18.637  18.316  18.589   4.100   0.995  36.057   4.506   0.988  82.691   7.397   0.984 -77.717   0.338 0 0 1 
1236 25    980   41.68  820.27   0.32  -0.27  18.721  0.018  18.766  18.358  18.739   4.579   0.995   8.797   5.187   0.995  72.514  10.098   0.992 -74.967   0.126 0 0 1 
1236 25   2677 1987.51  702.59  -0.06  -0.01  17.435  0.018  17.523  17.267  17.459   4.087   0.995  11.241   4.631   0.984  48.031   6.671   0.987  54.610   0.336 0 0 1 
1236 25    262 1426.21 2190.78  -0.03  -0.08  17.369  0.018  17.461  17.217  17.416   4.018   0.996  13.049   4.522   0.987  81.256   6.360   0.980 -88.046   0.352 0 0 1 
1236 25    286 2015.06 1550.77  -0.06   0.23  17.308  0.018  17.374  17.114  17.323   4.254   0.997  16.035   4.825   0.989  59.298   7.145   0.988  66.677   0.246 0 0 1 
1236 25   4836  802.19  655.90  -0.02  -0.06  18.035  0.018  18.070  17.877  18.037   3.561   0.988   7.608   3.461   0.997  36.448   4.414   0.997 -44.938   0.171 1061823289753935 0 1 
1236 25   2800 1884.80 3977.69  -0.05  -0.10  18.736  0.018  18.853  18.515  18.795   4.175   0.992 -27.307   4.596   0.976 -72.334   7.843   0.957 -67.698   0.344 0 0 1 
1236 25   4195 1564.00  679.70  -0.07  -0.08     nan    nan     nan     nan  18.931   4.289   0.983  64.602     nan     nan     nan     nan     nan     nan     nan 1061823289753947 0 1 
1236 25   1234 1042.44 2670.30  -0.08   0.04  17.025  0.018  17.064  16.889  17.025   3.909   0.959  23.333   4.073   0.954  38.141   5.066   0.958  54.783   0.184 1061823289755104 0 1 
1236 25   2564   59.04 2850.65   0.00  -0.08  18.832  0.018  18.958  18.610  18.892   4.113   0.991  54.439   4.550   0.987  83.485   7.824   0.981 -79.111   0.379 0 0 1 
1236 25   3686  688.02 2738.31  -0.03  -0.04  16.842  0.018  16.895  16.630  16.868   4.625   0.991  19.466   5.323   0.992  56.270   8.199   0.986 -54.785   0.181 0 3 1 
1236 25   4702 1793.21 2146.04  -0.04  -0.02     nan    nan     nan     nan  18.320   4.314   0.987  29.712     nan     nan     nan     nan     nan     nan     nan 1061823289754826 0 1 
1236 25    738 1513.69  828.80  -0.05  -0.06  17.524  0.018  17.555  17.233  17.523   4.749   0.993   2.721   5.436   0.994  40.854   9.253   0.997  73.625   0.096 0 0 1 
# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 26    472  530.63 2872.57  -0.04  -0.09  17.215  0.023  17.243  17.090  17.215   3.579   0.982  27.960   3.480   0.997  19.038   4.088   0.988 -55.927   0.160 0 2 1 
