id fakeid visit ccd cmodelMag expMag devMag expReff devReff expBA devBA expPosAng devPosAng cmodelMagErr expMagErr fracDev devMagErr nchild parent
1061818994788391 177536 1236 24 19.6782219321 19.882294286 19.1928937433 10.5993698702 31.5437518027 0.494796602932 0.449013204426 13.0259184418 13.17161314 0.10158331942 0.104456058407 0.353149896266 0.104000985245 5 0
1061818994789587 177536 1236 24 19.8341816841 19.9146147395 19.2572934559 10.3634702827 30.1329624535 0.484435009434 0.428003632167 14.4539246442 14.3855405402 0.101611871931 0.104482625575 0.152006295869 0.104053255473 0 1061818994788391
1061818994787577 158210 1236 24 19.040251011 19.1447562064 18.6941753172 6.73377104532 14.3558010029 0.689002470954 0.643126503602 5.7822750948 5.01117344799 0.102181736484 0.102858788055 0.253938073035 0.102309151281 0 0
1061818994787133 23429 1236 24 19.6193879156 19.6918950836 19.2194372445 6.0706767451 13.2357943914 0.804689025588 0.770233196572 -86.689652649 -85.6118244186 0.102824684934 0.104166866628 0.173608577767 0.103625395599 0 0
1061818994786896 109461 1236 24 19.795783177 19.9101145512 19.4544959189 5.82657975105 12.430777614 0.777484498395 0.728753517551 -44.1111141187 -43.7439425679 0.102850740256 0.104601283372 0.277511679534 0.104054190245 0 0
1061818994786711 81304 1236 24 20.6861686341 20.6859760217 19.9966864425 8.23265240251 24.0260249455 0.701125823639 0.665342466322 45.638729848 47.5509603357 0.101874924043 0.112014239191 0.0 0.111809741551 0 0
1061818994786683 59677 1236 24 19.1559787266 19.2594616502 18.8031834639 6.61190550576 14.1648980886 0.709414014556 0.667593314024 27.2609566404 26.6025121995 0.101137048743 0.101932551443 0.249755541937 0.101377038292 0 0
1061818994788212 183838 1236 24 20.6090815796 20.8294222573 20.1109166447 11.2405820614 35.0406478823 0.429719432717 0.373831318056 16.5515766154 16.617768335 0.102154303879 0.115967988755 0.370203104546 0.115738794745 2 0
1061818994789496 183838 1236 24 20.6601153472 20.8475944325 20.1138062875 10.9060746081 34.4138861811 0.442498341512 0.390130546736 15.8895899384 16.0439597185 0.102199313022 0.116044960326 0.315178757315 0.115841081389 0 1061818994788212
1061818994787837 11424 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 2 0
1061818994786796 166562 1236 24 19.4192989845 19.5295098472 19.074264685 6.38681127013 13.7028989078 0.716983327298 0.665029619727 -54.5354527997 -54.1382006489 0.101076277963 0.102219304238 0.266879213514 0.101662389513 0 0
1061818994787721 60964 1236 24 20.3428153349 20.5112997397 19.7778946643 12.2906933805 39.5389717453 0.418220883782 0.359745500731 -1.49264284653 -1.63256900387 0.102533162614 0.1116305445 0.284115482112 0.111347508537 2 0
1061818994789266 60964 1236 24 20.4819917986 20.5263099592 19.7793662356 11.8791977413 38.6141976729 0.436092901328 0.379453012082 -1.52193083546 -1.75041142468 0.102603339919 0.111653499495 0.0787409842894 0.111417085897 0 1061818994787721
1061818994788560 87206 1236 24 19.0110458053 19.10271944 18.7096746774 5.27481578747 9.99795307075 0.894157090744 0.875799330418 73.2741173821 74.4359726929 0.102273695985 0.102813308256 0.249929668264 0.102275987383 0 0
1061818994787849 184103 1236 24 21.7791724424 22.7633229833 21.7806924429 6.59910228563 26.6081241733 0.813522998684 0.700602465492 -63.0279302874 -3.08166226853 0.106842774055 0.285050094491 1.0 0.277043302478 3 0
1061818994789318 184103 1236 24 22.4408412314 22.9041076698 22.3317057993 6.22783120191 15.4463525033 0.678390202954 0.609245140497 -70.6363127181 -69.9029923431 0.118785607353 0.290492210766 0.840551985349 0.288971855694 0 1061818994787849
1061818994788978 29224 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 1061818994786959
1061818994787172 123946 1236 24 19.6870619249 20.1912003182 19.5287478527 7.37099442377 21.7510919363 0.695435911473 0.563066925318 -79.3053675959 -76.9109466669 0.1017961136 0.105564240213 0.800171290759 0.104954207839 3 0
1061818994789061 123946 1236 24 20.0886077608 20.2369630801 19.703218414 6.77331942712 16.0215313126 0.743647862825 0.71470569176 -79.5475530283 -78.9766244828 0.101924454367 0.105584011456 0.315221722012 0.10510697502 0 1061818994787172
1061818994787890 33528 1236 24 20.2740660069 20.3092858009 19.6694219765 8.93181156663 25.3008809808 0.559195835793 0.496211810524 -26.9461471137 -27.1203492589 0.102313103144 0.107204621459 0.0695198484051 0.106834530334 0 0
1061818994787351 53680 1236 24 20.5924241954 20.6603638948 20.0784307538 7.05416142537 18.0776885166 0.68534453155 0.637687208238 9.59877932644 9.49938461497 0.103719069701 0.110607341952 0.141261935877 0.110243975904 0 0
1061818994788315 31922 1236 24 20.2314743003 20.4250313013 19.7009497662 11.9109867097 37.6128006397 0.408258768108 0.35192859502 20.5441894835 20.6986641672 0.101907564646 0.109257974756 0.326954245229 0.108908340177 0 0
1061818994787335 37022 1236 24 19.9348198423 20.1184359242 19.4627609305 8.77410689122 24.861953422 0.606080069882 0.55908770461 57.3487835789 57.1659493133 0.10219401313 0.105936842984 0.331532824907 0.105472445431 3 0
1061818994789108 37022 1236 24 20.0391731032 20.137156486 19.4793622077 8.61543276848 24.4547068542 0.604270506713 0.559032974245 58.1079739181 57.8167487277 0.102225554506 0.105952156952 0.183523830355 0.1055088644 0 1061818994787335
1061818994787763 187448 1236 24 20.1038005004 20.373549494 19.782700876 7.51150824561 19.6125198524 0.659941645527 0.591670987365 -32.4358013409 -32.1932461548 0.103355899122 0.107978690477 0.509245887778 0.107466626432 2 0
