# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  3706  392.40   -0.07  -0.19  20.06   0.031 20.340  20.042  20.175   3.563   0.808  30.828   3.708   0.667  29.593   5.758   0.632  28.105   0.940 0 1
  1442  520.57    0.00  -0.11  20.14   0.031 20.541  20.142  20.329   3.653   0.943  17.992   4.012   0.894  12.806   7.392   0.856   9.667   1.000 1061853354524998 1
  1356 1859.99    0.13  -0.70  24.62   0.102 24.719  24.626  24.550   2.786   0.902 -29.931   2.835   0.137 -17.168   2.873   0.136 -17.035   1.000 0 1
  2972 3595.60    0.05  -0.04  20.86   0.031 21.318  20.856  21.064   4.674   0.667  39.489   5.863   0.508  40.885  12.234   0.459  40.607   1.000 1061853354526914 1
  2983 1531.70   -0.08  -0.03  20.30   0.031 20.571  20.300  20.385   3.552   0.712  18.740   3.717   0.500  17.999   5.565   0.455  17.942   1.000 0 1
   349 3622.54   -0.02  -0.05  20.86   0.031 21.299  20.861  21.087   4.395   0.743  18.841   5.203   0.626  19.291  10.376   0.584  18.690   0.994 0 1
  1217 3273.74    0.06  -0.12  21.30   0.031 21.541  21.284  21.389   3.069   0.934  12.113   2.791   0.873   9.808   4.028   0.830   7.486   0.934 1061853354526719 1
  3290 3113.77    0.05  -0.03  20.88   0.031 21.346  20.877  21.131   4.324   0.803   6.622   5.186   0.719   6.475  10.741   0.684   5.907   1.000 0 1
  1214  122.51   -0.02  -0.07  23.11   0.039 23.656  23.111  23.330   5.091   0.531 -35.522   5.468   0.448 -32.246  11.747   0.495 -28.820   1.000 0 1
  3186 1058.59    0.01  -0.02  23.35   0.044 23.379  23.344     nan   2.728   0.867  39.252   1.951   0.709  36.353   1.682   0.611  30.383   0.773 0 1
