# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
    34 1040.12    0.07  -0.16  21.69   0.024 22.160  21.636  21.980   4.671   0.783  21.392   5.319   0.732  18.837  11.916   0.706  15.761   0.916 0 1
  2371 3033.01   -1.09  -1.09  22.13   0.024 22.233  21.561  22.195  10.441   0.342  34.186  12.612   0.289  32.722  36.103   0.271  31.232   0.182 0 1
    24 2941.96    0.23  -0.00  20.63   0.023 21.183  20.559  20.988   5.523   0.745  32.057   6.815   0.696  33.883  17.356   0.688  34.251   0.900 0 1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   472 2872.57    0.09  -0.06  20.10   0.023 20.474  19.777  20.349   6.289   0.730  12.205   7.776   0.692  12.442  21.985   0.692  12.773   0.600 0 1
  2327 1005.52   -0.02  -0.08  21.10   0.024 21.141  20.863  21.086   3.763   0.840  13.132   3.678   0.761  12.291   5.761   0.711  11.680   0.160 0 1
  2327 1005.52   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 3640.45    0.18  -0.23  21.72   0.024 21.959  21.461  21.833   4.677   0.795   9.125   5.215   0.728   6.500  11.533   0.689   4.000   0.521 0 1
  4621 2275.62   -0.55  -0.04    nan     nan    nan     nan     nan   3.064   0.853  44.045     nan     nan     nan     nan     nan     nan     nan 0 1
  2836 1436.99   -0.58  -0.26  23.39   0.036 23.392  22.839     nan   5.149   0.869   8.420   5.566   0.811  14.809  13.337   0.809  14.820   0.000 0 1
   895 2553.62    0.65  -0.22  22.72   0.028 22.722  22.139     nan   5.406   0.771 -12.052   6.144   0.669 -11.654  16.003   0.592 -11.818   0.000 0 1
  2912  746.79   -0.01  -0.13    nan     nan    nan     nan     nan   3.244   0.904  41.728     nan     nan     nan     nan     nan     nan     nan 0 1
  2878 1495.46    0.60   0.07  22.36   0.025 23.002  22.273  22.628   6.034   0.724  61.048   7.151   0.648  61.408  20.747   0.633  60.987   0.904 0 1
  1523 1261.51   -0.19  -0.27  20.77   0.023 21.070  20.290  20.987   6.381   0.843  41.977   7.965   0.810  42.974  25.168   0.790  41.988   0.469 0 1
  1523 1261.51   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2965 2803.75   -0.46  -0.26  20.29   0.023 20.734  20.071  20.628   6.527   0.745  18.512   8.095   0.725  18.503  22.274   0.700  16.445   0.717 1061827584722376 1
  2121 3562.94    0.11   0.06  22.65   0.028 22.654  22.189     nan   4.690   0.742  31.515   5.104   0.642  32.746  11.258   0.557  34.051   0.000 0 1
  1932  499.80   -0.29  -0.07  20.88   0.023 21.335  20.576  21.111   6.799   0.693   4.444   8.667   0.641   3.794  27.026   0.600   3.232   0.667 0 1
  4436 3424.84   -1.44  -1.07  21.06   0.023 21.728  20.808  21.392   7.776   0.640  42.809  10.926   0.564  41.577  40.849   0.524  40.800   0.792 1061827584722721 1
  4436 3424.84   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4813 3677.97    0.25   0.00  22.58   0.027 22.688  22.287  22.617   4.661   0.694  20.295   4.930   0.583  19.907   9.668   0.520  20.754   0.300 0 1
  4813 3677.97   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  1570 3606.44    0.22  -0.19  21.21   0.023 21.693  20.756  21.670  10.584   0.780   4.773  13.334   0.838  12.320  49.057   0.880  19.895   0.606 0 1
  4669   20.85    0.16   0.15  20.21   0.023 20.689  20.082     nan   5.435   0.717  32.357   6.722   0.639  32.165  16.888   0.623  31.930   0.825 0 1
  4595 4116.63   -0.36  -0.52  22.74   0.028 22.741  22.177  22.766   5.473   0.682  57.557   6.244   0.576  55.103  15.725   0.507  53.116   0.000 0 1
  2318 1538.71   -0.50   0.29  21.64   0.024 22.051  21.283     nan   5.650   0.871  24.928   6.963   0.820  22.288  21.536   0.792  21.457   0.617 0 1
  3655 1773.96   -0.04  -0.03  21.07   0.023 21.611  20.992  21.429   5.076   0.802  43.403   6.377   0.717  46.053  16.485   0.674  46.498   0.893 0 1
  4075 3351.98   -0.07  -0.12  20.02   0.023 20.156  19.874  20.073   3.551   0.884  20.824   3.502   0.827  19.424   5.322   0.811  17.409   0.514 1061827584722677 1
   520 1981.45   -0.42  -0.16    nan     nan    nan     nan     nan   3.111   0.938  11.455     nan     nan     nan     nan     nan     nan     nan 0 1
   242  160.40    0.45  -0.16  20.89   0.023 21.606  20.801  21.264   6.791   0.724   2.894   8.806   0.674   2.330  28.388   0.640   1.100   0.922 1061827584720976 1
  2973 2413.38   -0.05  -0.05  20.12   0.023 20.502  19.954  20.369   4.850   0.895  18.898   5.808   0.881  20.394  13.448   0.878  20.337   0.736 1061827584722164 1
  3439 2757.13   -0.04  -0.09  20.30   0.023 20.799  20.053  20.660   6.821   0.709  34.387   8.870   0.666  34.630  27.108   0.634  33.421   0.731 0 1
   351 3546.47   -0.12  -0.13  20.03   0.023 20.053  19.584  20.032   5.581   0.660   1.369   6.575   0.565  -0.163  14.669   0.506  -1.393   0.047 0 1
  4557 1234.99    0.09   0.18  22.52   0.027 22.930  22.396  22.812   4.357   0.883  73.599   5.260   0.748  78.198  12.592   0.647  83.635   0.795 1061827584721532 1
  4557 1234.99   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2585 4009.87    0.38   0.75  22.15   0.025 22.790  22.011  22.237   7.326   0.650  31.024   9.005   0.586  33.289  28.456   0.544  34.890   0.860 0 1
  1377 1111.46    1.88  -0.66    nan     nan    nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 1
