# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  1377 1111.46   -0.41  -1.35  23.18   0.028 23.687  23.179  23.322   4.220   0.716 -14.684   5.587   0.562  -6.815  12.870   0.461  -8.271   1.000 1061930663936730 1
  2097   76.45   -0.28   0.22  21.54   0.018 21.657  20.881     nan   5.931   0.867  29.623   7.306   0.822  28.189  23.205   0.788  25.909   0.190 0 1
    21 1634.43   -0.07  -0.04  22.34   0.021 22.448  22.124     nan   3.823   0.786  -0.784   3.941   0.654  -1.338   6.761   0.589   0.050   0.363 0 1
   850 3484.92    0.41  -0.30  23.19   0.030 23.612  23.189  23.161   3.818   0.702  53.504   4.382   0.485  44.905   8.756   0.406  41.213   1.000 1061930663938160 1
  3698 2471.92   -0.99   0.44  22.39   0.021 22.985  22.387  22.825   5.955   0.557 -32.269   7.037   0.467 -29.810  17.733   0.428 -29.364   1.000 0 1
  4189 2666.97    0.01  -0.07  20.91   0.018 21.176  20.626  21.076   4.699   0.893  56.088   5.452   0.862  57.314  12.723   0.862  57.051   0.535 1061930663937625 1
  1042 1120.64    0.60   0.06  23.28   0.030 23.282  22.793  23.247   4.415   0.757  -9.212   4.798   0.645  -7.783  10.875   0.563  -6.383   0.000 0 1
   980  820.27    0.32  -0.27  20.02   0.018 20.523  19.859  20.361   6.030   0.805  20.886   7.942   0.754  20.410  21.903   0.719  18.757   0.795 0 1
   980  820.27   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   262 2190.78   -0.13  -0.18    nan     nan    nan     nan  20.913   3.448   0.909  21.382     nan     nan     nan     nan     nan     nan     nan 1061930663937427 1
   262 2190.78   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2422 1843.07   -0.03  -0.12  19.53   0.018 20.161  19.292  20.028   7.520   0.864   3.045  10.643   0.818   7.185  37.268   0.790   6.251   0.790 0 1
  4836  655.90    0.01  -0.21  20.38   0.018 20.720  19.966  20.674   6.959   0.813  35.970   9.062   0.765  36.541  28.023   0.747  33.912   0.521 1061930663936444 1
  1576 3382.99    0.52  -0.76  22.50   0.022 22.875  22.421  22.594   4.233   0.646 -80.506   4.805   0.452 -80.280  10.140   0.396 -79.503   0.844 1061930663938083 1
  2800 3977.69    1.04   1.22    nan     nan    nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 1
  4195  679.70   -0.14  -0.19  20.44   0.018 20.985  20.336  20.754   5.832   0.770  36.497   7.554   0.713  34.556  19.994   0.701  32.783   0.868 1061930663936445 1
  1234 2670.30   -0.05   0.39  21.98   0.019 22.426  21.746  22.470   5.484   0.790  25.788   6.502   0.740  25.003  18.113   0.706  21.435   0.720 0 1
  2564 2850.65   -0.04   0.35  20.56   0.018 20.789  20.094  20.747   6.560   0.752  12.200   8.164   0.706  12.000  23.924   0.663  11.133   0.386 0 1
  3686 2738.31   -0.28  -0.28  22.02   0.019 22.555  21.897  22.416   5.307   0.950  30.523   6.218   0.953  30.039  16.339   0.972  39.870   0.852 1061930663937661 1
  4702 2146.04   -0.38  -0.11  20.61   0.018 21.090  20.413  20.894   6.109   0.756  49.084   7.926   0.710  48.194  22.200   0.680  46.205   0.759 1061930663937322 1
  4773 1795.63    1.40  -0.07    nan     nan    nan     nan     nan   3.745   0.877  21.232     nan     nan     nan     nan     nan     nan     nan 0 1
   738  828.80   -1.57  -1.34  22.19   0.020 22.193  21.676  22.219   5.307   0.568  38.622   6.184   0.428  38.767  15.095   0.357  38.911   0.000 0 1
   738  828.80   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
