# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  3706  392.40    0.02  -0.04  20.11   0.023 20.395  20.104  20.222   3.416   0.801  25.668   3.573   0.646  24.242   5.519   0.596  23.594   0.990 0 1
  1442  520.57    0.06  -0.04  20.12   0.023 20.521  20.117  20.314   3.600   0.933   0.745   4.053   0.885  -1.928   7.437   0.861  -5.555   1.000 1061999383413053 1
  1442  520.57   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2972 3595.60    0.15  -0.01    nan     nan    nan     nan  21.241   4.835   0.619  35.222     nan     nan     nan     nan     nan     nan     nan 1061999383415151 1
  2983 1531.70    0.32  -0.11  20.05   0.023 20.369  20.053  20.194   4.159   0.650   8.734   4.880   0.469   8.166   7.994   0.419   7.951   1.000 0 1
   349 3622.54    0.14  -0.13  20.87   0.023 21.292  20.837  21.076   4.381   0.733  24.732   5.251   0.608  25.453  10.761   0.569  24.231   0.933 1061999383415146 1
  1217 3273.74   -0.13  -0.18  21.20   0.023 21.450  21.186  21.295   3.177   0.887  18.097   3.023   0.789  16.500   4.362   0.774  14.626   0.953 0 1
  3290 3113.77   -0.00  -0.06  21.07   0.023 21.452  21.042  21.288   4.202   0.764   6.809   4.821   0.655   7.539   9.231   0.610   6.937   0.935 1061999383414826 1
  1214  122.51   -0.02  -0.12    nan     nan    nan     nan     nan   3.328   0.807  37.217     nan     nan     nan     nan     nan     nan     nan 0 1
  3186 1058.59    0.83  -0.47  22.78   0.029 22.926  22.639  22.938   3.400   0.871 -16.347   3.168   0.801  -9.075   4.895   0.773   1.921   0.523 0 1
  2776  731.47   -0.01  -0.04  20.04   0.023 20.593  20.041  20.345   5.041   0.639  35.340   6.385   0.517  35.211  15.179   0.460  37.085   1.000 0 1
  4704 1607.55   -0.12  -0.73  23.89   0.052 23.895  23.688  23.768   3.398   0.802  76.611   3.032   0.661  79.731   4.287   0.558  86.973   0.000 0 1
  4839 1020.70   -0.35   0.05  23.17   0.033 23.461  23.090  23.305   3.565   0.720  27.470   3.699   0.510  27.258   6.630   0.480  27.616   0.796 0 1
  3671 2423.96    0.06  -0.40  22.90   0.028 23.315  22.708  23.422   4.220   0.900  61.428   4.529   0.887  55.239  11.166   0.885  49.587   0.732 0 1
  2417 2462.32    0.05  -0.06  20.53   0.023 20.842  20.519  20.660   3.176   0.961  28.482   3.152   0.915  32.059   5.002   0.907  34.749   0.982 0 1
   760 2571.32    0.03  -0.02  21.19   0.023 21.553  21.172  21.331   3.601   0.821  29.108   3.845   0.705  29.379   6.998   0.654  29.606   0.963 0 1
  1866 1241.46   -0.02   0.01  20.52   0.023 20.979  20.522  20.751   4.014   0.840  32.396   4.787   0.750  32.370   9.679   0.716  31.833   1.000 0 1
  2722 3331.30   -0.86   0.90    nan     nan    nan     nan     nan   3.290   0.740 -38.131     nan     nan     nan     nan     nan     nan     nan 0 1
  4081 2750.93    0.37  -0.20  21.45   0.024 21.879  21.442  21.685   4.019   0.847 -14.325   4.459   0.803 -17.764   8.672   0.789 -19.759   0.986 0 1
  1725  658.85    0.09  -0.07  23.27   0.036 23.424  23.274  23.329   3.051   0.758  24.197   2.612   0.505  20.523   3.071   0.446  21.003   1.000 0 1
  1853 3631.34   -0.14   0.25  22.81   0.029 23.141  22.812  22.843   3.221   0.903  68.369   3.222   0.794  68.847   5.327   0.737  72.024   1.000 0 1
   793 2158.94   -0.17   0.32  23.88   0.054 23.978  23.860  23.583   3.218   0.647  60.590   2.804   0.278  58.025   3.058   0.254  54.849   0.797 0 1
   933 1517.76   -0.14   0.20  24.15   0.065 24.153  24.082  24.125   3.475   0.551  31.802   2.991   0.144  32.146   3.015   0.136  36.664   0.000 0 1
  1180 2091.37   -0.15   0.13  23.51   0.040 23.637  23.337  23.559   3.481   0.861   8.410   3.326   0.760  -4.128   5.444   0.677 -13.406   0.445 0 1
  3923 1641.23    0.13  -0.05  23.60   0.044 23.831  23.598  23.486   3.120   0.701  31.245   3.006   0.405  31.265   4.544   0.274  31.626   1.000 0 1
  2736 2609.39   -0.03   0.19  22.44   0.026 22.705  22.279  22.548   4.444   0.650  29.578   5.011   0.500  29.334  10.142   0.442  29.208   0.663 0 1
  4768 3376.39    0.04   0.05  21.78   0.023 22.185  21.710  21.942   3.872   0.936 -10.166   4.293   0.865  -1.466   9.071   0.818  -2.293   0.865 0 1
  1661 2289.30    0.18  -0.09  22.90   0.029 23.406  22.906  22.866   3.938   0.870  57.419   4.204   0.820  60.580   8.963   0.802  63.816   1.000 0 1
  3348  160.53   -0.18   0.00  22.95   0.031 23.231  22.953  22.956   2.774   0.952  64.405   2.267   0.914  72.134   3.456   0.839  74.295   1.000 1061999383412837 1
  1514 1199.63    0.08  -0.08  20.22   0.023 20.733  20.216  20.484   4.327   0.843   5.449   5.407   0.769   5.332  11.908   0.738   2.279   1.000 0 1
