# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  1547 2974.07   -0.41  -0.40  24.27   0.076 24.644  24.211  24.484   2.590   0.804  -0.167   1.867   0.471   1.121   5.306   0.193   5.727   0.856 1061823289755360 1
  4495 3634.98   -0.17  -0.13  21.22   0.019 21.602  21.221  21.251   3.107   0.850  35.160   2.777   0.733  38.171   4.324   0.943  54.789   1.000 0 1
  1095 3231.22   -0.05  -0.03  20.14   0.018 20.655  20.146  20.408   4.516   0.829   4.993   5.658   0.769   7.648  12.249   0.749   6.833   1.000 1061823289755460 1
   805 1265.50   -0.11  -0.06  20.11   0.018 20.597  20.110  20.372   4.150   0.856   3.620   4.924   0.795   3.660  10.224   0.781   0.707   1.000 0 1
  4055  234.66   -0.11  -0.05  21.41   0.019 21.838  21.394  21.615   3.922   0.902  17.196   4.285   0.850  21.681   8.377   0.842  20.542   0.962 0 1
  3989  262.61    0.34   0.13  22.93   0.027 23.239  22.855  23.033   3.872   0.685  33.802   4.220   0.461  33.332   8.147   0.377  31.705   0.834 0 1
  3989  262.61   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2182   53.95   -0.07  -0.14  20.33   0.018 20.723  20.323  20.508   3.747   0.883  13.589   4.077   0.828  15.080   7.456   0.808  12.924   0.979 0 1
  2917 1662.10   -0.04  -0.04  20.75   0.018 21.090  20.733  20.886   3.625   0.846  46.371   3.808   0.737  49.340   6.490   0.718  49.472   0.966 0 1
   764 2443.81   -0.04  -0.04  20.62   0.018 20.837  20.624  20.671   3.184   0.782  38.874   2.982   0.579  42.040   3.972   0.527  41.843   1.000 0 1
  3091 3706.76   -0.03  -0.01  21.23   0.019 21.419  21.233  21.242   2.967   0.797   3.567   2.478   0.607   3.424   3.093   0.566   3.774   1.000 0 1
  3904 3825.32   -0.11  -0.04  20.19   0.018 20.427  20.193  20.225   3.104   0.831  35.627   2.794   0.678  39.568   3.845   0.630  38.981   1.000 1061823289755802 1
  3500 1034.59   -0.05  -0.00  20.89   0.018 21.088  20.888  20.935   2.812   0.931   9.547   2.292   0.878  10.482   2.925   0.831  14.910   1.000 0 1
  2331 2597.03   -0.02  -0.16  20.23   0.018 20.666  20.228  20.427   4.454   0.696   5.102   5.463   0.561   4.210  10.876   0.514   2.570   1.000 0 1
