# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
    34 1040.12    0.09   0.04  21.81   0.018 22.124  21.595  21.955   4.804   0.775  23.806   5.496   0.703  22.226  12.689   0.660  21.578   0.634 0 1
  2371 3033.01   -0.25  -0.05  22.17   0.019 22.473  21.705  22.273   6.701   0.809  24.076   8.401   0.741  19.839  26.925   0.682  15.564   0.474 0 1
    24 2941.96    0.04  -0.14  20.65   0.018 21.124  20.516  20.968   5.396   0.825  34.121   6.734   0.781  33.224  16.955   0.769  31.527   0.812 1062029448185547 1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   472 2872.57   -0.12  -0.04  20.25   0.017 20.437  19.786  20.399   6.486   0.722  13.394   8.177   0.658  12.684  22.965   0.608  12.375   0.334 0 1
  2327 1005.52   -0.06  -0.10  21.10   0.018 21.143  20.861  21.111   3.773   0.829  14.364   3.773   0.733   9.928   5.944   0.692   6.373   0.160 0 1
  2327 1005.52   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 3640.45    0.05  -0.11  21.81   0.019 22.078  21.635  21.923   4.327   0.763   5.557   4.826   0.659   8.295   9.886   0.611   9.396   0.636 0 1
  4621 2275.62   -0.08  -0.35    nan     nan    nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 1
  2836 1436.99    0.27  -0.18  23.61   0.039 23.803  23.344  23.369   3.823   0.740  85.570   3.771   0.672  80.263   7.419   0.709  70.466   0.473 0 1
   895 2553.62    0.11  -0.02  22.29   0.020 22.637  22.098  22.770   5.097   0.763  19.354   6.335   0.824  79.705  14.121   0.878  48.103   0.684 0 1
  2912  746.79    0.48   0.52    nan     nan    nan     nan     nan   3.213   0.888  35.684     nan     nan     nan     nan     nan     nan     nan 0 1
  2878 1495.46    0.19  -0.15  23.17   0.029 23.513  23.102  23.242   4.081   0.730  27.766   4.230   0.611  25.378   8.114   0.564  25.378   0.862 0 1
  1523 1261.51    0.25  -0.61  20.78   0.017 20.992  20.179  20.930   6.863   0.841  48.354   8.607   0.812  46.923  28.315   0.797  44.625   0.336 1062029448184526 1
  1457 1482.20    0.01  -0.01  19.99   0.017 20.671  19.946  20.456   6.538   0.790   1.000   8.847   0.750  -1.545  26.309   0.697  -2.360   0.957 0 1
  2965 2803.75   -0.05  -0.03  20.28   0.017 20.799  20.130  20.643   5.623   0.866  -0.946   7.354   0.822  -4.579  20.113   0.802  -6.327   0.819 0 1
  2121 3562.94    0.31  -0.21  22.68   0.022 22.685  22.235  22.653   5.419   0.571  39.273   6.084   0.438  37.150  13.294   0.366  35.652   0.005 0 1
  1932  499.80    0.00  -0.14  21.48   0.018 21.481  20.747  22.634   6.562   0.707  -1.647   8.125   0.628  -2.321  25.595   0.564  -2.715   0.000 0 1
