# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  3706  392.40   -0.02  -0.06  20.10   0.018 20.399  20.099  20.229   3.423   0.798  22.185   3.567   0.644  21.687   5.546   0.607  20.418   1.000 0 1
  1442  520.57    0.03  -0.08    nan     nan    nan     nan  20.313   3.551   0.956   9.401     nan     nan     nan     nan     nan     nan     nan 1061930663936373 1
  1356 1859.99   -0.37  -0.98  24.37   0.077 24.681  24.372  23.851   2.587   0.906  12.099   2.087   0.759  13.433   3.330   0.741   4.998   1.000 1061930663937135 1
  2972 3595.60    0.03  -0.07  20.94   0.018 21.342  20.890  21.118   4.916   0.616  41.413   5.885   0.478  42.210  11.980   0.449  42.309   0.906 1061930663938232 1
  2983 1531.70   -0.01  -0.02  20.33   0.018 20.569  20.315  20.418   3.555   0.709  18.940   3.734   0.495  17.801   5.508   0.432  16.626   0.945 0 1
   349 3622.54    0.01   0.06  20.74   0.018 21.186  20.704  21.029   4.543   0.771  26.028   5.506   0.670  25.371  11.657   0.640  24.129   0.927 1061930663938244 1
  1217 3273.74   -0.04  -0.11  21.22   0.019 21.519  21.217  21.298   3.178   0.900  -0.203   3.055   0.802  -3.766   4.716   0.781 -10.186   1.000 1061930663938024 1
  3290 3113.77    0.00  -0.09  21.11   0.018 21.465  21.059  21.299   4.177   0.765  13.124   4.733   0.641  11.099   9.020   0.598   8.409   0.882 1061930663937900 1
  1214  122.51   -0.33   0.01  23.90   0.050 24.026  23.713  23.453   3.396   0.637  21.460   3.265   0.325  20.613   5.243   0.356  23.206   0.435 0 1
  3186 1058.59   -0.03   0.08  22.71   0.024 23.017  22.704  22.829   3.546   0.754  41.890   3.522   0.576  43.461   5.615   0.556  46.641   0.973 1061930663936712 1
  2776  731.47   -0.08  -0.01  20.13   0.018 20.544  20.085  20.400   5.140   0.654  32.765   6.593   0.539  33.258  13.727   0.495  33.160   0.917 1061930663936507 1
  4704 1607.55   -0.22   0.22  24.30   0.073 24.299  24.276     nan   2.466   0.938 -79.649   1.658   0.753 -72.383   1.304   0.741 -79.588   0.000 1061930663937004 1
  4839 1020.70    0.35  -0.23  21.62   0.018 22.323  21.621  21.970   6.518   0.709  48.663   8.435   0.649  50.814  23.353   0.655  49.583   1.000 1061930663936690 1
  3671 2423.96    0.06   0.29  22.83   0.025 23.356  22.827  23.199   4.308   0.772  76.652   4.618   0.762  78.859   9.652   0.833  80.746   1.000 0 1
  2417 2462.32    0.02   0.00  20.50   0.018 20.842  20.496  20.629   3.297   0.931  41.662   3.254   0.899  37.406   5.338   0.905  28.797   1.000 0 1
   760 2571.32    0.02  -0.05  21.24   0.018 21.589  21.240  21.379   3.660   0.774  32.404   3.848   0.638  31.694   6.545   0.611  29.920   0.999 1061930663937562 1
   760 2571.32   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2722 3331.30    0.51   0.47  23.28   0.032 23.654  23.283     nan   4.558   0.580  46.288   4.979   0.414  43.842   9.280   0.343  42.551   1.000 0 1
  4081 2750.93    0.19   0.03  21.71   0.019 22.098  21.711  21.823   3.461   0.885  34.101   3.521   0.815  32.860   6.357   0.778  26.187   1.000 0 1
  1725  658.85   -0.39   0.04  23.36   0.034 23.421  23.270     nan   3.450   0.750 -12.418   3.350   0.530 -14.657   4.342   0.394 -14.265   0.388 1061930663936465 1
  1725  658.85   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   793 2158.94   -0.80  -0.58  23.65   0.043 23.902  23.619  23.603   3.964   0.484  60.023   4.193   0.247  52.042   6.229   0.278  49.915   0.891 0 1
   933 1517.76   -0.52   0.05  23.84   0.044 23.844  23.440  24.003   4.664   0.561  14.224   5.283   0.345  11.344  11.274   0.237  10.331   0.000 0 1
  1180 2091.37   -0.10  -0.37  23.08   0.027 23.555  23.079  21.930   8.804   0.416  10.177   5.448   0.518  17.000  12.119   0.417  16.337   1.000 0 1
  3923 1641.23    0.48  -0.32  23.82   0.047 23.820  23.612  23.933   3.295   0.750  46.825   2.839   0.566  43.588   3.807   0.536  40.178   0.000 0 1
  2736 2609.39   -0.06  -0.25  23.51   0.040 23.846  23.459  23.204   2.310   0.843  41.333   1.447   0.549  38.419   2.930   0.656  40.128   0.870 1061930663937597 1
  4768 3376.39    0.07  -0.24  21.53   0.019 22.136  21.534  21.785   3.944   0.879  18.627   4.718   0.887  42.241  11.092   0.924  75.002   1.000 1061930663938092 1
  1661 2289.30   -0.01   0.18  23.18   0.029 23.438  23.021  23.085   4.042   0.853  47.324   3.977   0.810  41.646   7.566   0.795  33.728   0.647 0 1
  1661 2289.30   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  1514 1199.63    0.03  -0.09  20.27   0.018 20.746  20.248  20.523   4.309   0.868   3.032   5.116   0.818   2.923  10.942   0.796   1.282   0.960 1061930663936792 1
  1133 3797.75    0.27   0.53  22.32   0.021 22.879  22.320  22.399   5.019   0.654  31.805   5.834   0.553  30.125  13.434   0.532  28.218   1.000 0 1
  4378  736.64    0.01  -0.07  21.43   0.019 21.684  21.427  21.492   3.120   0.794  38.434   2.928   0.609  37.818   4.174   0.588  39.038   1.000 0 1
  1186 1797.25   -0.36  -0.55  24.25   0.066 24.372  24.005  24.140   3.960   0.654  17.196   3.901   0.254  18.741   6.364   0.372  17.854   0.356 0 1
  2702  786.05   -0.07  -0.17  23.07   0.029 23.292  23.057  22.987   3.151   0.788  -1.577   2.920   0.580   0.188   4.159   0.514   3.192   0.963 0 1
  2765 2063.05   -0.31  -0.11  22.36   0.021 22.789  22.359  22.531   3.389   0.909 -33.582   3.536   0.805 -28.685   7.036   0.718 -26.003   1.000 0 1
  3815 3145.06   -0.25   0.41  22.80   0.024 22.877  22.413  22.734   4.325   0.777  27.751   4.611   0.669  25.670   9.680   0.639  23.943   0.199 0 1
  1547 2974.07    0.25  -0.52  23.27   0.030 23.485  23.110     nan   5.142   0.493  15.911   5.534   0.308  15.042  10.759   0.237  14.400   0.606 0 1
