# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
  3706  728.48  392.40  -0.04  -0.03  20.113  0.027  20.399  20.112  20.224   3.459   0.793  23.879   3.635   0.639  22.991   5.519   0.600  22.353   0.996 1061892009230570 1
  1442   82.19  520.57  -0.01  -0.06  20.155  0.027  20.524  20.143  20.360   3.519   0.959  12.341   3.811   0.928  10.525   6.730   0.911   5.476   0.969 0 1
  1356 1833.86 1859.99   0.27  -0.01     nan    nan     nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 1
  2972 1604.04 3595.60  -0.01   0.02  20.663  0.027  21.245  20.664  20.936   4.990   0.620  39.095   6.517   0.492  40.490  15.867   0.448  41.046   1.000 0 1
  2983 1085.95 1531.70  -0.04  -0.04  20.287  0.028  20.557  20.287  20.377   3.579   0.703  20.023   3.831   0.488  19.031   5.723   0.442  17.850   1.000 1061892009231344 1
   349  488.24 3622.54   0.56   0.11  20.681  0.027  21.099  20.617  20.911   4.586   0.747  30.084   5.534   0.652  29.823  11.719   0.624  29.022   0.883 1061892009232585 1
  1217 1635.13 3273.74  -0.23  -0.08  21.142  0.027  21.401  21.111  21.230   3.107   0.944  17.062   2.903   0.884  12.389   4.461   0.841   7.029   0.901 1061892009232406 1
  1217 1635.13 3273.74  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  1214  596.32  122.51  -0.52  -0.39  23.805  0.047  23.887  23.365  23.776   3.645   0.907  43.690   3.753   0.846  38.436   8.515   0.800  38.286   0.189 0 1
  3186  277.20 1058.59   0.18   0.00  23.062  0.034  23.114  22.906     nan   3.331   0.812  50.530   3.032   0.673  46.601   4.142   0.611  41.467   0.253 0 1
  2776 1327.55  731.47   0.01  -0.05     nan    nan     nan     nan  20.325   5.226   0.632  35.663     nan     nan     nan     nan     nan     nan     nan 1061892009230807 1
  4704 1822.09 1607.55   0.02  -0.03  23.841  0.049  23.841  23.504  23.812   3.780   0.770  80.210   3.609   0.656  80.004   6.171   0.628  76.458   0.000 0 1
  4839  576.41 1020.70   0.15   0.20  22.975  0.033  23.315  22.962  23.306   4.915   0.537  12.973   5.609   0.342  11.395  10.300   0.276  10.590   0.970 1061892009231015 1
  3671 1985.71 2423.96  -0.08  -0.28  23.201  0.035  23.388  22.964  23.215   3.933   0.878 -23.637   4.119   0.792 -29.647   8.388   0.697 -32.718   0.480 1061892009231933 1
  2417 1346.13 2462.32  -0.01  -0.06  20.550  0.028  20.873  20.551  20.670   3.184   0.944  50.034   3.119   0.900  50.766   4.926   0.897  42.252   1.000 0 1
   760 1084.63 2571.32  -0.08  -0.01  21.157  0.028  21.519  21.157  21.318   3.806   0.778  29.367   4.200   0.649  28.588   7.355   0.608  27.152   1.000 0 1
  1866  555.88 1241.46  -0.01  -0.03  20.320  0.027  20.975  20.320  20.676   4.081   0.794  30.445   4.879   0.700  29.094  12.117   0.753   5.710   1.000 0 1
  2722 1346.90 3331.30  -0.70  -0.30  23.710  0.045  23.741  23.400  23.770   4.127   0.594 -30.363   4.047   0.385 -31.048   6.913   0.387 -28.254   0.103 1061892009232437 1
  4081   70.94 2750.93   0.15  -0.11  21.636  0.027  22.019  21.633  21.841   3.621   0.890  41.013   3.824   0.831  38.694   6.902   0.804  33.956   0.992 1061892009232122 1
  1725 1875.81  658.85   0.35   0.09  23.172  0.036  23.323  23.117  23.211   3.633   0.681  17.763   3.525   0.452  14.282   4.861   0.377  11.419   0.739 0 1
  1853  869.52 3631.34   0.20  -0.04  22.707  0.031  22.971  22.541  22.690   3.858   0.846  37.800   4.155   0.714  37.896   8.532   0.619  38.074   0.649 0 1
   793  710.37 2158.94   0.83   0.02  23.714  0.046  23.713  23.522  25.582   3.979   0.563  12.215   3.862   0.293  10.586   5.330   0.238  10.389   0.000 0 1
   933 1467.05 1517.76  -0.79   0.32  23.918  0.053  23.929  23.631  23.804   3.321   0.803  -6.487   3.059   0.676 -11.305   4.623   0.732 -13.954   0.042 1061892009231338 1
   933 1467.05 1517.76  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  3923 1942.89 1641.23  -0.00  -0.12  23.804  0.048  23.803  23.604     nan   3.658   0.717  35.319   3.312   0.558  34.377   4.833   0.442  37.604   0.000 0 1
  2736  395.10 2609.39  -0.03  -0.18  22.041  0.028  22.558  22.034  22.264   5.150   0.610  20.990   6.042   0.498  19.884  13.877   0.451  19.305   0.987 0 1
  4768 1433.66 3376.39   0.02  -0.05  21.623  0.028  22.192  21.624  21.852   3.955   0.861  20.748   4.731   0.777  26.030  11.339   0.704  33.235   1.000 0 1
  1661  696.75 2289.30   0.37  -0.00  22.969  0.033  23.433  22.926  22.715   3.839   0.861  27.730   4.038   0.846  27.999   8.530   0.869  31.739   0.927 1061892009231883 1
