# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
    34  662.11 1040.12  -0.01  -0.00  21.825  0.022  22.186  21.650  22.092   5.299   0.667  21.235   6.185   0.573  20.827  14.472   0.529  19.878   0.716 0 1
  2371 1780.00 3033.01   0.09   0.06  22.935  0.027  22.935  22.260  22.946   6.005   0.603  23.486   7.175   0.507  22.070  20.495   0.471  21.372   0.000 1061900599166470 1
    24  135.15 2941.96   0.12   0.04  20.487  0.021  21.008  20.328  20.896   5.423   0.963  62.860   6.768   0.951  57.929  18.572   0.947  50.929   0.810 0 1
  4467 1355.97 3302.82  -0.17   1.08  23.416  0.038  23.516  23.078     nan   4.349   0.684 -76.254   4.690   0.502 -74.684   9.758   0.434 -73.118   0.260 0 1
  2505   91.53 1147.16   0.57  -0.77  22.071  0.022  22.993  22.072  22.308  11.354   0.536  44.381  11.841   0.581  46.258  41.268   0.576  42.478   1.000 0 1
   472  530.63 2872.57  -0.04  -0.05  20.308  0.021  20.463  19.806  20.423   6.259   0.783  15.037   7.740   0.730  14.725  21.762   0.680  13.907   0.284 0 1
  2327  208.04 1005.52   0.06  -0.01     nan    nan     nan     nan  21.292   3.487   0.859  15.603     nan     nan     nan     nan     nan     nan     nan 1061900599165394 1
  2327  208.04 1005.52  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 1768.29 3640.45  -0.04  -0.26  21.616  0.021  21.983  21.482  21.865   4.409   0.833   9.440   5.192   0.725   4.132  11.794   0.640   0.897   0.766 0 1
  4621  401.00 2275.62  -0.07   0.19  23.347  0.036  23.550  23.094  23.584   3.816   0.946 -46.418   4.141   0.811 -28.933   8.988   0.681 -32.539   0.489 1061900599166073 1
  2836  323.28 1436.99  -0.51  -1.23  23.194  0.033  23.689  23.133  23.268   3.606   0.868  26.656   3.682   0.760  25.185   9.469   0.595  35.348   0.908 1061900599165625 1
   895  180.57 2553.62  -0.18   0.00     nan    nan     nan     nan     nan   3.168   0.879  46.318     nan     nan     nan     nan     nan     nan     nan 0 1
  2912 1123.24  746.79  -0.25   0.45  22.452  0.023  22.452  21.729  22.410   5.724   0.784  22.439   6.737   0.735  19.898  19.853   0.720  17.919   0.000 0 1
  2878 1225.05 1495.46  -0.40   0.24     nan    nan     nan     nan     nan   3.306   0.809  41.066     nan     nan     nan     nan     nan     nan     nan 1061900599165654 1
  1523 1089.14 1261.51   0.02  -0.12  20.755  0.021  21.113  20.322  21.082   6.554   0.815  35.897   8.260   0.781  36.007  26.537   0.752  36.585   0.534 0 1
  1457 1508.61 1482.20   0.02  -0.12     nan    nan     nan     nan  21.173   5.212   0.711   2.593     nan     nan     nan     nan     nan     nan     nan 1061900599165710 1
  2965  454.56 2803.75   0.02  -0.01  20.449  0.021  20.846  20.193  20.717   5.433   0.905  12.752   6.815   0.860  13.239  18.462   0.832  11.559   0.666 0 1
  2121 1455.56 3562.94  -0.25   0.48  21.889  0.022  22.152  21.561  22.043   8.659   0.388  51.270  11.203   0.290  49.852  28.633   0.274  49.749   0.499 0 1
  1932 1468.78  499.80  -0.54   0.10  21.429  0.021  21.429  20.676  21.427   6.621   0.706   0.568   8.303   0.632  -0.469  26.826   0.565  -1.348   0.000 1061900599165153 1
  4436  158.41 3424.84  -0.46  -1.84     nan    nan     nan     nan     nan   3.366   0.850  50.950     nan     nan     nan     nan     nan     nan     nan 1061900599166705 1
  2339  424.07  695.21   0.06   0.24  21.010  0.021  21.703  20.824  21.623   8.498   0.741  68.408  10.738   0.752  66.534  36.442   0.782  64.732   0.843 0 1
  4813  368.04 3677.97  -0.66  -0.48  22.827  0.028  22.826  22.482  22.879   3.981   0.816  22.722   4.039   0.708  20.687   7.350   0.628  20.802   0.000 1061900599166871 1
  2321 1653.72 2208.02   0.38   0.10  22.109  0.022  22.623  21.974  22.180   5.761   0.686 -13.601   6.826   0.591 -10.882  18.820   0.521  -9.108   0.832 0 1
  1570  990.64 3606.44   0.38  -0.09  21.697  0.021  22.167  21.275  22.170   7.150   0.786  -2.795   9.294   0.743  -5.663  33.200   0.722  -9.143   0.619 0 1
  4669 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   5.492   0.720  37.710     nan     nan     nan     nan     nan     nan     nan 0 1
  4595 1728.58 4116.63   0.70  -0.21  22.512  0.024  22.747  22.173  22.714   5.499   0.687  39.383   6.381   0.582  37.225  16.260   0.506  35.905   0.465 0 1
  2318   29.50 1538.71   0.50   0.29  21.773  0.021  21.996  21.275     nan   6.783   0.781  45.274   8.090   0.754  43.541  23.726   0.750  42.003   0.374 0 1
  3655  841.00 1773.96   0.38   0.05     nan    nan     nan     nan     nan  47.409   0.780  -8.760     nan     nan     nan     nan     nan     nan     nan 1061900599165810 1
  4075  924.68 3351.98  -0.04  -0.12  20.000  0.021  20.161  19.869  20.059   3.540   0.896  27.759   3.543   0.832  20.752   5.494   0.807  15.862   0.564 1061900599166651 1
   520  988.52 1981.45  -0.09  -0.18  22.760  0.027  23.273  22.721  22.777   4.640   0.811  58.379   4.755   0.786  56.910  10.889   0.774  61.023   0.943 0 1
   242  770.72  160.40   0.69   0.13  20.741  0.020  21.522  20.733  21.038   7.024   0.705  15.428   9.245   0.649  16.283  29.272   0.612  15.822   0.992 0 1
  2973 1514.65 2413.38   0.01  -0.06  19.620  0.021  20.466  19.621  20.158   4.820   0.926  22.204   6.170   0.894  23.440  23.015   0.667   4.787   1.000 0 1
  3439 1182.22 2757.13   0.10   0.02  20.417  0.021  20.878  20.154  20.719   6.841   0.704  31.755   8.744   0.655  30.888  26.021   0.625  29.172   0.700 1061900599166317 1
