# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
    34  662.11 1040.12  -0.15  -0.02  21.754  0.019  22.136  21.560  22.067   4.759   0.824  24.575   5.475   0.775  24.437  13.261   0.749  21.758   0.711 0 1
    34  662.11 1040.12  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
    24  135.15 2941.96   0.22   0.93  20.580  0.018  20.939  20.273  20.789   5.680   0.796  46.653   7.336   0.725  47.975  20.521   0.680  48.248   0.604 0 1
    24  135.15 2941.96  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
    24  135.15 2941.96  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   472  530.63 2872.57   0.36   0.44  20.484  0.018  20.660  20.094  20.611   5.751   0.755  12.265   6.952   0.703  12.921  17.118   0.679  13.150   0.352 1061823289755251 1
  2327  208.04 1005.52  -0.02   0.01  20.965  0.018  21.052  20.737  21.006   3.964   0.800  14.847   4.067   0.705  13.986   6.761   0.668  11.802   0.296 0 1
  2327  208.04 1005.52  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 1768.29 3640.45  -0.12   0.12  21.994  0.020  22.164  21.781  22.060   4.268   0.766   5.072   4.504   0.676   6.710   8.487   0.616   6.966   0.465 0 1
  4621  401.00 2275.62  -0.29   0.01     nan    nan     nan     nan     nan   3.021   0.875 -13.775     nan     nan     nan     nan     nan     nan     nan 1061823289754911 1
  2836  323.28 1436.99  -0.47  -0.11  23.957  0.053  23.956  23.664  24.010   3.924   0.705  47.984   3.809   0.526  48.397   6.777   0.375  50.193   0.000 0 1
   895  180.57 2553.62  -0.29   0.04  22.613  0.022  22.735  22.161  22.675   5.281   0.703   1.667   5.935   0.625   1.395  14.794   0.571   1.667   0.255 0 1
  2912 1123.24  746.79  -0.15  -0.25  21.575  0.019  22.425  21.577  22.266   5.353   0.749   6.954   6.264   0.804  -0.456  20.123   0.829 -38.973   1.000 0 1
  2878 1225.05 1495.46  -0.03  -0.02  22.570  0.022  23.034  22.454  22.938   5.338   0.714  45.136   6.065   0.621  45.338  14.960   0.574  45.274   0.834 0 1
  1523 1089.14 1261.51  -0.23   0.23  20.541  0.018  20.906  20.088  20.803   7.268   0.838  52.276   9.122   0.825  49.946  30.078   0.812  50.249   0.528 1061823289754288 1
  1457 1508.61 1482.20   0.00  -0.17     nan    nan     nan     nan  20.596   6.431   0.744   1.275     nan     nan     nan     nan     nan     nan     nan 1061823289754405 1
  2965  454.56 2803.75  -0.19  -0.07  20.385  0.018  20.767  20.134  20.659   5.850   0.834  -1.356   7.266   0.806   0.928  19.214   0.783   4.592   0.656 1061823289755207 1
  2121 1455.56 3562.94  -0.16  -0.31  22.851  0.026  22.854  22.556  24.066   4.228   0.745  33.737   4.348   0.619  34.495   7.458   0.535  33.297   0.000 1061823289755632 1
  1932 1468.78  499.80   0.12  -0.18  21.436  0.019  21.435  20.695  21.541   6.582   0.736  10.572   8.220   0.677   9.026  25.740   0.627   7.331   0.000 1061823289753872 1
  4436  158.41 3424.84  -1.73  -1.22     nan    nan     nan     nan     nan   3.301   0.873  21.818     nan     nan     nan     nan     nan     nan     nan 0 1
  2339  424.07  695.21   1.91  -1.14  24.942  0.146  24.941  24.941  24.946   2.097   0.920  24.017   0.891   0.652  27.267   0.565   0.672  24.316   0.000 1061823289753957 1
  4813  368.04 3677.97  -0.13  -0.20  21.800  0.019  22.447  21.719  22.318   5.184   0.732  -2.688   6.325   0.643  -7.193  18.921   0.585  -7.251   0.914 1061823289755767 1
  2321 1653.72 2208.02  -0.67  -0.03  22.470  0.022  22.760  22.261  22.570   4.727   0.790 -31.046   5.347   0.730 -36.768  11.874   0.687 -39.711   0.622 1061823289754877 1
