# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
  3706  728.48  392.40  -0.02  -0.14  20.123  0.026  20.397  20.113  20.216   3.540   0.783  27.220   3.605   0.646  24.848   5.455   0.612  23.557   0.963 0 1
  1442   82.19  520.57  -0.03  -0.08  20.195  0.026  20.550  20.182  20.371   3.619   0.952  20.344   3.844   0.934   6.427   6.661   0.918  -6.896   0.966 1061831879688470 1
  1356 1833.86 1859.99  -0.09  -0.05     nan    nan     nan     nan     nan   3.163   0.807 -16.744     nan     nan     nan     nan     nan     nan     nan 1061831879689236 1
  2972 1604.04 3595.60  -0.02  -0.20  20.855  0.026  21.310  20.856  21.075   4.790   0.639  38.187   5.899   0.506  38.046  12.007   0.475  37.889   1.000 0 1
  2983 1085.95 1531.70   0.01  -0.05  20.305  0.026  20.587  20.306  20.362   3.549   0.705  20.383   3.713   0.508  18.060   5.612   0.470  16.897   1.000 1061831879689026 1
   349  488.24 3622.54   0.09  -0.15  20.816  0.026  21.272  20.816  21.021   4.391   0.738  25.018   5.246   0.637  24.835  10.581   0.609  23.041   1.000 0 1
  1217 1635.13 3273.74  -0.05  -0.08  21.244  0.027  21.520  21.236  21.312   3.114   0.922  18.556   2.790   0.874  -0.368   4.166   0.858  -3.407   0.973 0 1
  3290 1094.41 3113.77   0.05  -0.16  21.039  0.026  21.447  21.022  21.241   4.274   0.752  14.246   4.914   0.646  10.512   9.624   0.599   8.071   0.965 0 1
  1214  596.32  122.51   0.46   0.59  23.380  0.043  23.708  23.381  23.287   3.383   0.804  19.124   3.567   0.681   8.903   5.791   0.624   2.376   1.000 1061831879688255 1
  3186  277.20 1058.59   0.39   0.47  22.422  0.029  22.849  22.422  22.592   4.572   0.552  44.873   5.395   0.375  48.031  10.214   0.365  51.061   1.000 0 1
  2776 1327.55  731.47  -0.08  -0.15  20.026  0.026  20.547  20.027  20.280   5.214   0.628  36.691   6.698   0.517  35.440  14.990   0.480  35.065   1.000 0 1
  4704 1822.09 1607.55   0.03  -0.03  23.937  0.064  24.119  23.924  23.818   2.462   0.911 -58.717   1.726   0.647 -59.076   1.912   0.911  36.461   0.932 0 1
  4839  576.41 1020.70   0.18  -0.02  23.139  0.037  23.487  23.140  23.332   3.769   0.629  14.265   4.389   0.333  11.262   7.735   0.277   7.867   1.000 1061831879688738 1
  3671 1985.71 2423.96  -0.20   0.35  23.283  0.039  23.283  22.907     nan   4.224   0.767  48.849   4.246   0.679  49.556   7.960   0.624  50.341   0.000 0 1
  2417 1346.13 2462.32  -0.06  -0.02  20.537  0.026  20.843  20.528  20.653   3.303   0.925  39.616   3.201   0.910  37.988   4.994   0.913  32.985   0.975 1061831879689604 1
   760 1084.63 2571.32  -0.07  -0.04  21.280  0.026  21.581  21.242  21.414   3.765   0.769  28.080   3.941   0.644  25.617   6.662   0.605  22.838   0.898 0 1
