# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
  4557 1903.08 1234.99  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2585 1083.86 4009.87   0.25   0.72  21.875  0.023  22.427  21.509  21.960   8.130   0.868  -4.414  10.524   0.853  -8.733  38.666   0.839  -9.274   0.690 0 1
  1377  441.19 1111.46  -0.51   0.14  22.603  0.026  23.203  22.604  23.132   5.251   0.810 -21.174   5.874   0.748 -13.687  14.541   0.692 -12.617   1.000 0 1
  2097 1792.33   76.45  -0.07   0.04  21.531  0.023  21.735  21.029  21.683   5.334   0.903  27.638   6.343   0.913  30.418  17.976   0.935  27.464   0.351 1061999383412779 1
    21 1742.29 1634.43   0.21  -0.04  22.006  0.024  22.395  21.991  22.146   3.973   0.714 -14.783   4.278   0.575 -12.118   8.006   0.547  -9.597   0.967 0 1
   850  850.52 3484.92   0.20  -0.48  23.696  0.047  23.989  23.697  23.685   2.987   0.936  42.827   2.643   0.835  40.755   4.144   0.765  44.333   1.000 1061999383415043 1
  3698  696.41 2471.92  -0.29  -0.26  22.282  0.024  22.829  22.103  22.783   6.637   0.792  12.734   7.979   0.794  15.418  23.148   0.798  12.820   0.802 1061999383414395 1
  4189  868.07 2666.97   0.03  -0.02  20.096  0.023  20.899  20.097  20.534   5.509   0.826  53.798   7.110   0.847  52.961  21.157   0.914  22.687   1.000 0 1
  1042 1463.26 1120.64  -0.23  -0.46  22.661  0.026  23.004  22.363  23.013   4.976   0.842  26.537   5.755   0.755  19.020  15.611   0.684  13.645   0.600 0 1
   980   41.68  820.27  -0.68  -0.27  19.923  0.023  20.492  19.780  20.317   6.139   0.811  12.891   8.143   0.773  13.026  23.486   0.754  13.035   0.839 0 1
   980   41.68  820.27  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   262 1426.21 2190.78   0.08  -0.04  21.198  0.023  21.378  21.101  21.273   3.227   0.935  27.613   3.052   0.883  25.017   4.561   0.868  24.638   0.661 0 1
   262 1426.21 2190.78  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2422 1119.56 1843.07   0.14  -0.13  19.512  0.023  20.133  19.276  19.993   7.657   0.873  -4.387  10.457   0.870  -2.513  36.042   0.847  -2.528   0.787 0 1
  4836  802.19  655.90   0.06  -0.10  20.445  0.023  20.806  20.035  20.712   6.703   0.763  47.758   8.604   0.721  48.575  27.121   0.691  49.074   0.546 1061999383413129 1
  1576 1732.31 3382.99  -0.70   0.69  22.092  0.024  22.153  21.512  22.024   4.870   0.862 -22.981   5.680   0.803 -23.693  15.649   0.737 -24.378   0.122 1061999383414976 1
  2800 1884.80 3977.69  -1.03  -0.79     nan    nan     nan     nan     nan   3.491   0.881  28.727     nan     nan     nan     nan     nan     nan     nan 0 1
  4195 1564.00  679.70   0.06  -0.03  20.633  0.023  21.144  20.516  20.966   5.461   0.805  41.106   6.862   0.746  39.889  17.819   0.719  38.320   0.846 1061999383413144 1
  1234 1042.44 2670.30   0.29   0.21     nan    nan     nan     nan     nan   3.119   0.903  -4.859     nan     nan     nan     nan     nan     nan     nan 1061999383414531 1
  2564   59.04 2850.65  -0.04   0.35  20.280  0.023  20.720  19.968  20.619   6.752   0.770   9.306   8.819   0.718   9.486  27.448   0.674   8.572   0.655 0 1
  3686  688.02 2738.31   0.18  -0.19  21.867  0.024  22.585  21.867  22.323   5.595   0.727 -27.539   6.887   0.675 -27.052  19.608   0.641 -27.797   1.000 0 1
  4702 1793.21 2146.04  -0.11  -0.17  20.426  0.023  21.142  20.427  20.914   6.587   0.691  43.751   9.108   0.634  44.281  26.006   0.620  45.461   1.000 1061999383414174 1
  4773 1234.91 1795.63  -1.07  -0.51  24.406  0.076  24.406  24.163  24.112   4.168   0.503   5.056   4.382   0.211   3.250   6.515   0.205   2.316   0.000 1061999383413922 1
   738 1513.69  828.80   0.06  -0.10  22.156  0.025  22.564  22.132  22.394   3.670   0.931  80.422   3.863   0.874  81.092   7.513   0.842  85.977   0.951 0 1
  4584 1341.91 2034.43  -0.06  -0.02  22.556  0.026  22.802  22.341  22.514   4.059   0.869   5.752   4.376   0.786   4.049   9.147   0.738   3.695   0.574 0 1
