# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
    34  662.11 1040.12  -0.05  -0.13  21.985  0.027  22.249  21.789  22.163   4.774   0.705  26.486   5.344   0.607  25.476  11.203   0.567  24.663   0.614 0 1
  2371 1780.00 3033.01  -0.27  -0.28     nan    nan     nan     nan     nan   3.145   0.843  31.253     nan     nan     nan     nan     nan     nan     nan 0 1
    24  135.15 2941.96   0.01  -0.03  20.737  0.026  21.213  20.600  21.007   5.191   0.795  35.919   6.509   0.732  36.646  16.599   0.702  37.096   0.815 0 1
    24  135.15 2941.96  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2505   91.53 1147.16  -0.80  -1.15     nan    nan     nan     nan     nan   2.865   0.916  21.649     nan     nan     nan     nan     nan     nan     nan 0 1
   472  530.63 2872.57  -0.03  -0.09  20.367  0.026  20.481  19.845  20.452   6.230   0.752  13.746   7.675   0.700  13.076  21.019   0.657  12.306   0.218 0 1
  2327  208.04 1005.52   0.10  -0.01  21.271  0.026  21.368  21.140  21.291   3.319   0.832  17.290   3.079   0.705  14.694   4.288   0.663  13.458   0.431 1061926368969299 1
  2327  208.04 1005.52  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 1768.29 3640.45   0.02   0.05  21.940  0.026  22.165  21.764  22.125   4.120   0.782   9.089   4.451   0.681   6.900   8.537   0.633   5.513   0.593 0 1
  4621  401.00 2275.62  -1.38   1.12  22.413  0.029  22.510  22.365  22.374   2.692   0.895 -70.837   2.084   0.724 -66.219   2.324   0.717 -64.798   0.673 1061926368970019 1
  4621  401.00 2275.62  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   895  180.57 2553.62   0.30  -0.13  22.201  0.027  22.578  21.867  22.340   5.167   0.784  21.515   6.035   0.752  23.904  17.210   0.743  26.510   0.604 0 1
  2912 1123.24  746.79   0.22   0.40  21.663  0.026  22.230  21.397  22.128   7.683   0.607  11.186   9.910   0.565  12.616  33.011   0.548  13.692   0.751 0 1
  2912 1123.24  746.79  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  1523 1089.14 1261.51  -0.06   0.06  20.809  0.026  21.130  20.342  21.038   6.581   0.807  49.452   8.322   0.759  48.997  26.763   0.726  48.252   0.486 1061926368969459 1
  1457 1508.61 1482.20   0.22  -0.20  20.268  0.026  20.792  20.122  20.620   6.339   0.737  -7.916   8.187   0.684  -7.335  22.900   0.638  -7.538   0.821 0 1
  2965  454.56 2803.75  -0.05  -0.13  20.359  0.026  20.809  20.136  20.683   5.723   0.888  21.470   7.278   0.853  21.811  20.141   0.830  18.059   0.722 0 1
  2965  454.56 2803.75  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  1932 1468.78  499.80  -0.01  -0.07  21.351  0.025  21.351  20.578  22.078   6.887   0.737   4.613   8.507   0.687   3.719  27.581   0.643   2.853   0.000 0 1
  4436  158.41 3424.84  -1.02  -0.92     nan    nan     nan     nan     nan   3.445   0.890  36.374     nan     nan     nan     nan     nan     nan     nan 1061926368970811 1
  2339  424.07  695.21  -1.25  -1.60  22.615  0.028  23.545  22.616  22.549   5.766   0.533  30.015   7.806   0.459  27.369  25.156   0.581  24.904   1.000 1061926368969127 1
  4813  368.04 3677.97   0.08  -0.14  22.678  0.029  22.834  22.319  22.850   4.406   0.854   2.955   4.816   0.768   0.249  10.984   0.716  -2.447   0.347 1061926368970947 1
  2321 1653.72 2208.02   0.08  -0.56  22.126  0.027  22.519  21.809  22.123   5.188   0.901   1.079   6.159   0.846   6.369  17.745   0.818   7.774   0.625 0 1
  1570  990.64 3606.44  -0.76   0.86  21.674  0.026  22.365  21.483  21.962   5.614   0.917  59.415   7.393   0.939  41.548  26.181   0.892   6.832   0.839 1061926368970935 1
  4669 1101.84   20.85   0.16   0.15     nan    nan     nan     nan     nan   5.633   0.705  36.245     nan     nan     nan     nan     nan     nan     nan 0 1
  4595 1728.58 4116.63   0.33   0.18  22.811  0.029  22.895  22.325     nan   4.706   0.776  49.199   5.378   0.676  48.681  13.434   0.607  48.929   0.179 0 1
  2318   29.50 1538.71   0.50   0.29  21.422  0.026  21.982  21.121     nan   6.165   0.865  20.077   7.864   0.852  17.884  26.822   0.837  16.716   0.728 0 1
  3655  841.00 1773.96   0.29   0.33  20.399  0.026  21.323  20.399  20.842   5.485   0.815  51.743  10.518   0.767  41.994  34.809   0.804  38.016   1.000 1061926368969739 1
  4075  924.68 3351.98   0.02  -0.09  20.072  0.026  20.195  19.927  20.112   3.441   0.904  21.513   3.370   0.844  17.887   5.004   0.816  15.286   0.472 0 1
   520  988.52 1981.45  -0.34  -0.78  22.824  0.030  23.120  22.446  22.845   5.402   0.649  72.962   6.239   0.575  71.599  17.487   0.539  69.729   0.508 1061926368969852 1
   242  770.72  160.40  -0.33  -0.31  21.305  0.026  21.872  21.183  21.576   5.215   0.839   4.055   6.537   0.804  -1.290  18.343   0.770  -3.540   0.860 1061926368968807 1
  2973 1514.65 2413.38  -0.01   0.08  20.084  0.026  20.463  19.909  20.335   4.923   0.943  54.090   6.084   0.915  59.117  14.223   0.912  57.280   0.721 0 1
  3439 1182.22 2757.13   0.10  -0.11  20.367  0.026  20.818  20.084  20.662   6.995   0.683  35.396   9.020   0.634  35.320  27.306   0.598  34.873   0.681 0 1
   351  626.55 3546.47  -0.05   0.07  20.083  0.026  20.082  19.657  20.063   5.174   0.712   0.300   5.991   0.611  -0.342  12.554   0.549  -0.978   0.000 1061926368970902 1
  4557 1903.08 1234.99   0.16   0.29  23.018  0.032  23.181  22.709  27.183   4.200   0.736  78.111   4.482   0.624  77.779   9.468   0.592  75.051   0.390 0 1
  4557 1903.08 1234.99  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2585 1083.86 4009.87  -0.11  -1.11  22.997  0.029  23.003  22.272     nan   6.806   0.841  31.044   8.448   0.737  34.133  29.304   0.560  37.722   0.000 0 1
  1377  441.19 1111.46   0.18   0.43  23.953  0.052  23.953  23.683  23.899   3.742   0.701  37.723   3.558   0.519  39.180   5.681   0.475  39.050   0.000 0 1
  2097 1792.33   76.45  -0.08  -0.00  21.399  0.025  21.574  20.802     nan   6.005   0.857  39.327   7.271   0.842  36.832  22.589   0.834  35.463   0.288 0 1
    21 1742.29 1634.43   0.04  -0.00  21.948  0.027  22.351  21.948  21.970   4.010   0.761   5.967   4.366   0.666   6.978   8.141   0.637   5.635   1.000 1061926368969679 1
   850  850.52 3484.92  -0.12  -0.31  23.913  0.054  23.991  23.788     nan   3.097   0.811 -79.850   2.694   0.617 -81.624   3.588   0.564 -86.823   0.400 0 1
