# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
  3706  728.48  392.40   0.01  -0.10  20.117  0.018  20.403  20.118  20.217   3.468   0.800  25.644   3.543   0.652  23.631   5.348   0.619  21.414   1.000 1061922074001675 1
  1442   82.19  520.57   0.01  -0.12  20.101  0.018  20.528  20.102  20.285   3.660   0.936  30.628   3.983   0.906  24.189   7.428   0.910  16.198   1.000 1061922074001766 1
  1356 1833.86 1859.99  -0.27   0.40     nan    nan     nan     nan     nan   3.017   0.812 -82.358     nan     nan     nan     nan     nan     nan     nan 0 1
  2972 1604.04 3595.60   0.03  -0.11  20.840  0.018  21.253  20.800  21.092   4.892   0.647  42.161   5.946   0.521  40.779  12.245   0.479  39.288   0.922 1061922074003648 1
  2983 1085.95 1531.70  -0.05  -0.03  20.300  0.018  20.560  20.300  20.390   3.645   0.695  21.674   3.878   0.475  20.697   5.725   0.424  19.880   1.000 0 1
   349  488.24 3622.54   0.03  -0.02  20.902  0.018  21.318  20.902  21.118   4.214   0.758  21.344   4.948   0.631  22.221   9.568   0.579  21.683   1.000 1061922074003686 1
  1217 1635.13 3273.74  -0.01   0.01  21.118  0.018  21.458  21.119  21.267   3.257   0.901  15.738   3.140   0.823  11.275   5.093   0.832  11.001   1.000 0 1
  3290 1094.41 3113.77  -0.03  -0.04  20.942  0.018  21.384  20.942  21.175   4.473   0.742  12.669   5.358   0.636  13.511  10.568   0.608  13.094   1.000 0 1
  1214  596.32  122.51   0.06  -0.45  22.852  0.026  23.183  22.742  22.876   3.872   0.888 -39.170   4.237   0.776 -28.493   8.517   0.732 -22.990   0.777 1061922074001498 1
  3186  277.20 1058.59  -0.07  -0.18  22.867  0.027  23.136  22.861  22.920   3.387   0.840  45.336   3.077   0.725  44.947   4.485   0.728  46.418   0.979 0 1
  2776 1327.55  731.47   0.01  -0.00  20.080  0.018  20.562  20.081  20.328   5.113   0.643  38.123   6.680   0.512  38.188  14.107   0.481  37.357   1.000 1061922074001913 1
  4704 1822.09 1607.55  -0.12  -0.18  23.428  0.036  23.619  23.299  23.464   3.494   0.797  18.671   3.523   0.601  15.781   6.237   0.467  14.105   0.625 0 1
  4839  576.41 1020.70   0.37   0.12  23.334  0.033  23.334  22.941  23.210   4.716   0.586  24.416   5.125   0.413  22.173  10.442   0.322  20.042   0.000 0 1
  4839  576.41 1020.70  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2417 1346.13 2462.32   0.01  -0.04  20.528  0.018  20.855  20.528  20.651   3.298   0.919  45.541   3.258   0.871  46.440   5.172   0.872  43.403   1.000 0 1
   760 1084.63 2571.32  -0.10  -0.05     nan    nan     nan     nan  21.046   4.136   0.779  21.834     nan     nan     nan     nan     nan     nan     nan 1061922074003041 1
  1866  555.88 1241.46   0.05  -0.06  20.488  0.018  20.962  20.489  20.714   4.162   0.840  32.165   5.016   0.732  32.931  10.402   0.688  34.735   1.000 0 1
  2722 1346.90 3331.30   0.00  -0.65  23.500  0.038  23.676  23.369  23.344   3.306   0.780  33.234   2.991   0.637  26.743   4.497   0.697  14.116   0.600 0 1
  4081   70.94 2750.93   0.11  -0.10  21.132  0.018  21.698  21.132  21.256   4.114   0.950  25.161   5.481   0.854  28.675  12.711   0.827  24.121   1.000 0 1
  1725 1875.81  658.85   0.11   0.03  22.951  0.027  23.228  22.907  22.986   3.525   0.729   9.675   3.551   0.517  11.061   6.063   0.438  16.225   0.874 0 1
  1853  869.52 3631.34   0.08   0.15  22.743  0.024  23.073  22.714  22.897   3.771   0.769  44.929   3.775   0.681  43.139   6.384   0.692  39.866   0.926 0 1
   793  710.37 2158.94  -0.09  -0.08  23.693  0.045  23.919  23.694  23.899   3.710   0.615  13.199   3.737   0.340  13.533   5.416   0.242  10.472   1.000 0 1
   933 1467.05 1517.76  -0.20  -0.14  24.044  0.060  24.048  23.831  23.945   3.187   0.761  50.148   2.700   0.604  54.081   3.716   0.558  68.598   0.020 0 1
  1180 1398.62 2091.37  -0.31  -0.05  23.185  0.031  23.505  23.185  23.109   3.534   0.798  12.126   3.584   0.640  11.061   5.904   0.586  15.393   1.000 0 1
