# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
    34 1040.12    0.26  -0.08  22.03   0.021 22.229  21.774  22.097   4.635   0.759  15.308   5.143   0.649  13.474  10.963   0.576  12.271   0.469 0 1
  2371 3033.01   -0.95  -0.16    nan     nan    nan     nan     nan   3.196   0.937  22.587     nan     nan     nan     nan     nan     nan     nan 0 1
    24 2941.96   -0.06  -0.09  20.94   0.021 21.244  20.685  21.149   5.323   0.781  30.918   6.338   0.728  31.367  15.207   0.703  30.515   0.594 0 1
    24 2941.96   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2505 1147.16    1.56   0.13  21.97   0.021 22.844  21.852  22.275   8.963   0.750  21.397  11.641   0.708  22.211  47.303   0.626  24.759   0.917 0 1
   472 2872.57   -0.07  -0.00  20.35   0.020 20.445  19.824  20.421   6.459   0.744  15.979   7.916   0.687  15.518  21.438   0.639  14.354   0.193 1062025153218156 1
  2327 1005.52    0.03  -0.03  21.17   0.021 21.190  20.930  21.132   3.716   0.849  14.194   3.578   0.750   9.478   5.409   0.704   6.669   0.083 0 1
  2327 1005.52   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4419 3640.45    0.51   0.38  21.76   0.021 21.969  21.506  21.873   4.539   0.765  21.705   5.108   0.672  19.042  10.724   0.639  17.480   0.484 1062025153218611 1
  4621 2275.62    0.09  -0.70    nan     nan    nan     nan  23.088   5.934   0.662  18.523     nan     nan     nan     nan     nan     nan     nan 0 1
  2836 1436.99    0.50  -0.26  23.36   0.034 23.486  23.009  23.490   5.745   0.625  78.798   5.989   0.580  78.615  12.528   0.589  78.615   0.301 0 1
   895 2553.62   -0.28  -0.08  22.57   0.024 22.653  21.978  22.647   5.134   0.871  -1.402   5.887   0.819  -3.329  16.428   0.783  -3.922   0.151 0 1
  2912  746.79    0.90   0.83  21.68   0.020 22.334  21.680  21.950   6.181   0.638 -50.060   8.165   0.537 -48.945  22.724   0.466 -47.378   1.000 1062025153216909 1
  2878 1495.46   -0.03  -0.32    nan     nan    nan     nan     nan   3.037   0.886  37.696     nan     nan     nan     nan     nan     nan     nan 0 1
  1523 1261.51   -0.16  -0.11  20.93   0.019 21.135  20.385  21.130   6.209   0.855  46.678   7.586   0.828  45.938  23.186   0.806  45.782   0.337 0 1
  1457 1482.20   -0.01  -0.18  20.02   0.019 20.706  19.989  20.493   6.806   0.720   6.053   9.271   0.650   5.756  26.965   0.616   4.334   0.968 0 1
  2965 2803.75   -1.49  -0.21  20.51   0.020 20.747  20.166  20.619   4.976   0.852   4.259   5.988   0.804   4.812  14.994   0.765   1.961   0.460 0 1
  2121 3562.94    0.92  -1.10    nan     nan    nan     nan  20.399  20.224   0.580 -36.067     nan     nan     nan     nan     nan     nan     nan 1062025153218564 1
  1932  499.80   -0.27  -0.04  21.43   0.020 21.434  20.727  24.006   7.034   0.667  -1.043   8.637   0.586  -1.372  26.269   0.527  -1.295   0.000 0 1
  4436 3424.84    0.54   0.26  23.66   0.047 23.657  23.656  23.634   2.051   0.980  36.625   0.897   0.770 -28.678   0.590   0.756 -26.558   0.000 1062025153218529 1
  2339  695.21    0.50   0.32  21.60   0.020 21.917  21.115     nan   6.855   0.945  66.070   8.412   0.934  56.943  27.254   0.918  44.706   0.471 0 1
  4813 3677.97   -0.03   0.04  22.98   0.028 22.980  22.645     nan   3.773   0.885  16.735   3.690   0.818  12.131   6.402   0.782  18.416   0.000 1062025153218625 1
  2321 2208.02    0.33  -0.11  22.20   0.021 22.685  22.063  22.670   4.585   0.904   9.932   5.305   0.822   5.202  13.776   0.765   2.371   0.821 0 1
  2321 2208.02   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4669   20.85    0.16   0.15    nan     nan    nan     nan     nan   5.535   0.734  43.038     nan     nan     nan     nan     nan     nan     nan 0 1
  4595 4116.63    1.42   0.37  21.95   0.020 21.945  21.202  21.833   5.876   0.843  54.520   7.229   0.833  37.955  22.786   0.773  26.951   0.000 1062025153218758 1
  2318 1538.71    0.50   0.29  21.44   0.021 21.978  21.172     nan   7.128   0.736  18.323   8.888   0.716  18.858  28.375   0.711  18.840   0.735 0 1
  3655 1773.96    0.12  -0.28  21.24   0.020 21.671  21.080  21.511   4.764   0.909  22.637   5.617   0.867  23.720  13.785   0.847  25.655   0.777 0 1
  4075 3351.98    0.03   0.25  19.90   0.019 20.058  19.748  19.978   3.777   0.877  58.421   3.952   0.824  61.562   6.276   0.816  61.335   0.523 0 1
   520 1981.45   -0.17  -0.23  23.54   0.040 23.548  23.256  23.449   3.691   0.803  80.376   3.326   0.744  76.613   5.036   0.780  67.290   0.046 1062025153217632 1
   242  160.40   -0.01  -0.38    nan     nan    nan     nan  24.578   1.983   0.873  21.519     nan     nan     nan     nan     nan     nan     nan 1062025153216591 1
  2973 2413.38   -0.05   0.88  20.06   0.019 20.336  19.720  20.257   5.499   0.858  79.650   6.563   0.866  80.168  16.707   0.881  81.240   0.499 0 1
  3439 2757.13    0.08   0.04  20.39   0.019 20.827  20.114  20.748   6.957   0.704  35.564   8.908   0.644  34.108  26.476   0.598  32.676   0.682 0 1
   351 3546.47   -0.04  -0.06  20.09   0.020 20.091  19.652  20.093   5.516   0.680   1.170   6.407   0.578   0.408  13.956   0.505   0.152   0.000 0 1
  4557 1234.99   -0.08  -0.19  22.38   0.022 22.807  22.109  22.734   5.821   0.730   1.085   7.105   0.612  -3.312  21.063   0.530  -5.514   0.684 0 1
  4557 1234.99   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2585 4009.87   -1.74  -1.44    nan     nan    nan     nan     nan   3.137   0.935  13.331     nan     nan     nan     nan     nan     nan     nan 0 1
  1377 1111.46   -0.43   0.06    nan     nan    nan     nan     nan  13.084   0.194  16.711     nan     nan     nan     nan     nan     nan     nan 0 1
  2097   76.45    0.20   0.24  22.03   0.021 22.026  21.550     nan   4.558   0.890 -34.878   5.029   0.827 -35.036  11.300   0.755 -35.307   0.000 1062025153216544 1
    21 1634.43   -0.32   0.11  22.03   0.021 22.195  21.765  22.060   5.262   0.585  -7.636   5.931   0.438  -6.821  12.389   0.370  -6.022   0.424 0 1
   850 3484.92    0.64   0.04  23.84   0.050 23.954  23.800     nan   4.227   0.593  12.575   3.980   0.383   9.664   5.444   0.218   7.174   0.708 0 1
  3698 2471.92   -0.18  -0.03  22.92   0.026 23.283  22.706     nan   5.472   0.658  47.142   6.166   0.566  47.168  14.917   0.548  44.822   0.687 1062025153217922 1
