# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  2097   76.45    0.67   0.55  21.45   0.025 21.585  20.810  21.525   6.114   0.847  41.878   7.455   0.811  41.177  23.374   0.793  40.058   0.223 0 1
    21 1634.43    0.03   0.01  22.14   0.026 22.447  22.090  22.218   3.783   0.768   9.831   3.963   0.620   4.970   6.941   0.578   0.237   0.877 0 1
   850 3484.92   -0.03  -0.00  23.89   0.054 23.884  23.699  23.881   3.418   0.768  -0.716   3.069   0.531  -4.691   4.159   0.428  -8.710   0.000 0 1
  3698 2471.92   -0.19   0.22  22.65   0.027 23.274  22.461     nan   7.135   0.697 -25.497   8.429   0.634 -30.335  27.481   0.598 -28.440   0.826 0 1
  4189 2666.97    0.06  -0.05  20.84   0.024 21.130  20.584  21.036   5.038   0.826  41.179   5.826   0.787  40.632  13.658   0.764  39.705   0.576 1061990793479702 1
  1042 1120.64    0.41   0.07  22.75   0.028 22.933  22.283     nan   5.208   0.812  33.118   5.904   0.754  28.462  15.799   0.728  26.850   0.342 0 1
   980  820.27    0.32  -0.27    nan     nan    nan     nan  20.512   5.837   0.843  13.578     nan     nan     nan     nan     nan     nan     nan 1061990793478659 1
   980  820.27   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   262 2190.78    0.01  -0.11  21.16   0.024 21.362  21.067  21.235   3.447   0.873  34.029   3.344   0.789  30.251   5.185   0.766  27.231   0.716 0 1
   262 2190.78   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2422 1843.07   -1.16  -1.27  20.06   0.024 20.056  19.167  20.011   8.331   0.762  33.408  11.061   0.724  31.946  40.831   0.688  31.058   0.000 1061990793479240 1
  4836  655.90    0.28  -0.08  20.32   0.024 20.760  19.994  20.651   7.233   0.732  44.590   9.216   0.710  40.998  28.340   0.708  38.275   0.645 1061990793478538 1
  1576 3382.99   -0.09  -0.22  22.44   0.027 22.476  22.010  22.419   4.427   0.831  12.884   4.860   0.750   8.731  10.493   0.695   4.056   0.092 1061990793480167 1
  2800 3977.69    0.09   0.39  22.58   0.027 22.586  21.687  22.399   7.173   0.798  10.442   9.215   0.748   8.502  34.014   0.721   6.176   0.000 0 1
  4195  679.70    0.01  -0.24  20.56   0.024 21.070  20.436  20.849   5.609   0.795  40.520   7.216   0.736  38.491  18.665   0.730  38.490   0.841 1061990793478547 1
  1234 2670.30    0.04  -0.03  21.50   0.025 22.105  21.250  22.198   7.593   0.665  19.946   9.864   0.628  21.175  33.872   0.600  21.255   0.774 1061990793479712 1
  2564 2850.65   -0.04   0.35  19.90   0.024 20.699  19.899  20.426   6.660   0.751   5.740   9.260   0.729  12.845  30.026   0.676  20.432   1.000 0 1
  3686 2738.31   -0.17  -0.05    nan     nan    nan     nan     nan  10.426   0.481  10.890     nan     nan     nan     nan     nan     nan     nan 0 1
  4702 2146.04   -0.19  -0.11  20.69   0.024 21.120  20.459  20.912   6.279   0.757  42.044   7.815   0.714  41.763  21.043   0.714  41.874   0.701 1061990793479403 1
  4773 1795.63    0.86  -0.57  23.50   0.036 23.496  22.708  23.113   8.264   0.498   9.707   9.796   0.415   8.377  32.122   0.385   9.718   0.000 0 1
   738  828.80    0.36  -0.03  22.39   0.027 22.509  22.158     nan   4.350   0.801  25.007   4.346   0.727  22.293   7.633   0.698  19.978   0.365 0 1
  4584 2034.43   -0.35   0.03  21.66   0.025 22.304  21.664  22.072   4.590   0.877  32.089   7.903   0.644  49.031  19.891   0.641  48.537   1.000 0 1
