# FakeID   FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  extended
    34  662.11 1040.12  -0.22  -0.11  22.069  0.018  22.221  21.742  22.204   4.797   0.767  33.233   5.404   0.674  32.468  11.948   0.609  31.786   0.356 0 1
  2371 1780.00 3033.01   0.76   0.72  22.725  0.020  22.724  21.981     nan   6.694   0.655   9.084   7.907   0.612  10.482  24.117   0.617  13.019   0.000 0 1
    24  135.15 2941.96   0.05   0.00  20.510  0.016  21.076  20.450  20.894   5.480   0.794  32.985   7.056   0.744  32.467  18.100   0.727  31.781   0.923 0 1
    24  135.15 2941.96  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
    24  135.15 2941.96  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
   472  530.63 2872.57  -0.06  -0.06  19.981  0.016  20.384  19.719  20.253   6.670   0.704  16.956   8.846   0.628  15.771  24.854   0.588  14.743   0.662 0 1
  2327  208.04 1005.52   0.03  -0.03  21.073  0.016  21.120  20.818  21.090   3.820   0.831  20.169   3.852   0.748  19.157   6.267   0.715  19.135   0.165 0 1
  3648  149.23 3418.16   1.78   0.39  22.731  0.022  23.164  22.640  22.854   4.426   0.685 -73.983   5.389   0.535 -75.315  12.674   0.464 -73.872   0.850 1061960728709216 1
  4419 1768.29 3640.45   0.14  -0.12  21.707  0.017  22.098  21.631  21.898   4.349   0.806  -0.237   4.920   0.731   1.543  10.392   0.675   2.917   0.856 0 1
  4621  401.00 2275.62   0.60  -0.07  23.092  0.027  23.276  22.983     nan   3.555   0.854  20.013   3.393   0.764  22.837   5.390   0.705  23.350   0.646 0 1
  2836  323.28 1436.99  -0.32  -0.04  23.752  0.043  23.973  23.720  23.918   4.248   0.565 -26.869   4.483   0.209 -28.005   7.138   0.136 -30.552   0.879 0 1
   895  180.57 2553.62  -0.34  -0.26  22.657  0.021  22.721  22.114  22.753   5.140   0.774   4.719   5.705   0.722   2.390  14.759   0.673   0.626   0.130 0 1
   895  180.57 2553.62  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2878 1225.05 1495.46   0.63  -0.27  22.807  0.022  23.196  22.612  22.775   4.798   0.819  40.598   5.249   0.773  40.449  12.664   0.763  38.162   0.717 0 1
  1523 1089.14 1261.51  -0.27  -0.16  20.856  0.016  21.117  20.333  21.077   6.259   0.844  45.278   7.857   0.820  43.726  25.024   0.798  43.025   0.407 0 1
  1457 1508.61 1482.20  -0.09  -0.02  20.103  0.016  20.742  20.040  20.495   6.180   0.762   2.107   8.307   0.719   2.325  23.662   0.689   1.441   0.929 0 1
