# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  4495 3634.98   -0.16   0.06    nan     nan    nan     nan  21.577   2.925   0.836  38.462     nan     nan     nan     nan     nan     nan     nan 1062029448185951 1
  1095 3231.22   -0.04  -0.07  20.20   0.017 20.707  20.198  20.449   4.436   0.815   4.753   5.501   0.741   4.581  11.994   0.710   2.752   1.000 0 1
   805 1265.50    0.03  -0.10  20.10   0.017 20.578  20.103  20.343   4.081   0.897   5.606   4.959   0.836   5.222  10.168   0.816   3.258   1.000 1062029448184533 1
  4055  234.66    0.01  -0.00  21.53   0.018 21.933  21.528  21.677   3.592   0.903  31.766   3.787   0.840  28.743   7.027   0.811  20.189   1.000 0 1
  3989  262.61   -1.45   0.16  23.00   0.026 23.001  22.543  22.954   4.455   0.662  15.954   4.981   0.480  14.559  11.110   0.390  15.056   0.000 0 1
  3824  771.87    0.39   0.30  23.76   0.047 24.221  23.761  23.549   3.149   0.661  16.358   2.726   0.353  18.382   4.729   0.636  25.428   1.000 0 1
  2182   53.95    0.04  -0.05  20.32   0.017 20.719  20.320  20.510   3.697   0.881  23.330   4.132   0.806  19.134   7.512   0.790  15.867   1.000 0 1
  2917 1662.10    0.06  -0.10  20.91   0.018 21.178  20.879  21.014   3.463   0.821  47.869   3.501   0.700  47.643   5.414   0.682  47.667   0.911 1062029448184784 1
   764 2443.81   -0.02  -0.01  20.65   0.018 20.853  20.643  20.701   3.101   0.774  47.590   2.857   0.581  46.558   3.761   0.538  46.007   0.965 0 1
  3091 3706.76    0.01   0.01  21.25   0.018 21.392  21.231  21.277   2.956   0.812   1.525   2.603   0.589  -0.690   3.168   0.510  -2.051   0.879 1062029448185978 1
  3904 3825.32    0.07  -0.04  20.10   0.018 20.359  20.103  20.172   3.112   0.827  43.058   2.985   0.677  41.897   4.224   0.648  41.020   1.000 1062029448186069 1
  3500 1034.59    0.02   0.02  20.85   0.018 21.089  20.848  20.855   2.735   0.954  28.325   2.209   0.929   6.140   3.010   0.912 -17.171   1.000 0 1
  2331 2597.03    0.03  -0.00  20.36   0.017 20.714  20.332  20.543   4.268   0.712   4.581   5.109   0.570   4.121   9.457   0.513   3.865   0.931 1062029448185326 1
