# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  3706  392.40   -0.03  -0.03  20.10   0.020 20.393  20.096  20.204   3.427   0.794  26.777   3.577   0.635  24.514   5.584   0.583  23.973   1.000 1061900599165120 1
  1442  520.57    0.04   0.01  20.16   0.020 20.543  20.159  20.340   3.531   0.951  21.540   3.828   0.913  13.425   6.806   0.890   7.382   0.994 0 1
  1356 1859.99    0.43   0.05  24.35   0.084 24.373  24.320  23.521   3.696   0.512 -23.297   3.513   0.137 -21.678   3.501   0.137 -21.461   0.246 0 1
  2972 3595.60   -0.03   0.03  20.97   0.021 21.343  20.913  21.167   4.945   0.611  41.961   6.035   0.460  40.856  12.240   0.407  40.217   0.876 0 1
  2983 1531.70    0.01   0.04  20.54   0.021 20.819  20.538  20.596   3.248   0.719  20.680   3.226   0.451  18.034   5.026   0.387  16.070   1.000 1061900599165716 1
   349 3622.54    0.01  -0.12    nan     nan    nan     nan  21.191   4.393   0.753  19.823     nan     nan     nan     nan     nan     nan     nan 1061900599166843 1
  1217 3273.74    0.17  -0.08  20.83   0.021 21.355  20.831  21.086   3.325   0.944  31.696   3.339   0.927  29.126   7.758   0.798  55.286   1.000 0 1
  3290 3113.77    0.07  -0.12  20.95   0.021 21.376  20.923  21.167   4.328   0.791  18.200   5.067   0.690  17.433  10.347   0.648  16.430   0.942 0 1
  1214  122.51    0.75   0.38  23.82   0.051 24.082  23.631  23.839   4.124   0.506   0.021   4.262   0.162  -0.475   8.037   0.299   1.097   0.609 0 1
  3186 1058.59   -0.08  -0.06  22.76   0.027 22.997  22.718  22.900   3.838   0.696  48.896   3.921   0.508  48.495   6.301   0.414  47.623   0.843 0 1
  2776  731.47    0.03  -0.06  20.06   0.020 20.551  20.064  20.332   5.018   0.646  36.374   6.568   0.522  35.839  14.027   0.486  35.099   1.000 1061900599165255 1
  4704 1607.55   -0.26  -0.42  24.11   0.066 24.109  23.956     nan   3.698   0.566  29.173   3.713   0.169  33.399   4.716   0.135  35.479   0.000 0 1
  4839 1020.70   -0.08   0.16  23.50   0.040 23.500  23.181  23.251   4.266   0.614  17.084   4.245   0.431  15.743   7.283   0.388  14.785   0.000 0 1
  3671 2423.96    0.27   0.09  23.12   0.033 23.487  23.121     nan   4.305   0.676  71.295   4.385   0.563  71.211   7.780   0.510  70.274   1.000 1061900599166154 1
  2417 2462.32    0.38  -0.32  20.48   0.021 20.722  20.386  20.583   3.743   0.867 -23.203   3.847   0.791 -22.371   6.408   0.772 -22.550   0.726 0 1
   760 2571.32   -0.06  -0.03  21.32   0.021 21.610  21.279  21.427   3.592   0.808  26.537   3.674   0.674  24.847   6.114   0.636  23.064   0.891 0 1
  1866 1241.46   -0.00  -0.06  20.66   0.021 21.034  20.630  20.839   3.949   0.835  32.967   4.444   0.743  32.274   8.255   0.719  30.671   0.930 1061900599165531 1
  2722 3331.30    0.20  -0.25  23.86   0.057 23.938  23.756     nan   2.989   0.784  16.345   2.486   0.594   8.945   3.026   0.603  -2.364   0.440 0 1
  4081 2750.93   -0.06  -0.01  21.59   0.021 22.012  21.585  21.763   3.558   0.907  75.747   3.760   0.860  77.701   7.073   0.858  82.044   1.000 1061900599166331 1
