# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  3706  392.40    0.12  -0.01  20.29   0.025 20.495  20.253  20.352   3.288   0.806  24.867   3.193   0.652  22.976   4.467   0.615  21.277   0.853 1061926368968961 1
  1442  520.57    0.00  -0.05  20.13   0.026 20.550  20.134  20.320   3.569   0.937   4.900   3.876   0.902   1.728   7.231   0.875  -4.658   1.000 0 1
  1442  520.57   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  1442  520.57   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2983 1531.70   -0.04  -0.01  20.26   0.026 20.585  20.264  20.400   3.528   0.705  19.254   3.712   0.491  18.431   5.865   0.496  19.563   1.000 0 1
   349 3622.54   -0.03  -0.13  20.95   0.026 21.362  20.929  21.158   4.338   0.726  23.887   5.072   0.605  23.716   9.994   0.569  23.430   0.962 0 1
  1217 3273.74    0.13  -0.10    nan     nan    nan     nan  21.353   2.975   0.909  -2.292     nan     nan     nan     nan     nan     nan     nan 1061926368970726 1
  3290 3113.77    0.10  -0.01  20.98   0.026 21.428  20.984  21.197   4.221   0.779   5.907   4.972   0.675   6.374   9.904   0.641   6.961   1.000 0 1
  1214  122.51   -0.22  -0.39  23.78   0.050 24.060  23.778  23.390   3.850   0.586  60.149   3.705   0.373  58.179   5.788   0.324  54.889   1.000 0 1
  3186 1058.59   -0.00   0.16  22.89   0.032 23.124  22.888  22.922   3.345   0.751  36.076   3.144   0.573  34.149   4.399   0.533  33.948   0.975 0 1
  3186 1058.59   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4704 1607.55    0.27   0.05  22.83   0.030 23.333  22.814  22.549   4.095   0.847  31.319   4.209   0.856  28.851   9.024   0.877  23.815   0.970 0 1
  4839 1020.70   -0.54  -0.77  22.78   0.030 23.108  22.677  22.927   5.273   0.478  26.281   6.204   0.289  27.249  12.978   0.233  28.904   0.791 0 1
  3671 2423.96    0.24  -0.42  23.78   0.049 23.907  23.669  23.820   3.215   0.839  27.095   2.948   0.728  26.262   4.150   0.696  26.208   0.545 1061926368970109 1
  2417 2462.32    0.03  -0.05  20.61   0.026 20.899  20.600  20.723   3.155   0.947  60.545   3.048   0.904  61.883   4.614   0.908  59.373   0.976 1061926368970132 1
   760 2571.32    0.12   0.05  21.29   0.026 21.624  21.292  21.447   3.488   0.845  31.859   3.600   0.754  32.636   5.813   0.754  31.152   1.000 1061926368970216 1
  1866 1241.46    0.05  -0.03  20.52   0.026 20.959  20.505  20.726   4.118   0.814  34.129   4.824   0.724  32.383   9.556   0.717  31.296   0.968 1061926368969438 1
  2722 3331.30    0.31  -0.89  23.42   0.039 23.754  23.420     nan   3.982   0.695  56.548   3.934   0.551  57.128   6.629   0.505  55.296   1.000 0 1
  4081 2750.93    0.06  -0.09  21.69   0.026 22.088  21.693  21.842   3.448   0.911  55.171   3.588   0.848  50.501   6.496   0.829  44.170   1.000 0 1
  1725  658.85    0.09   0.14  22.72   0.030 23.146  22.721  22.945   3.492   0.798  38.752   3.545   0.735  32.248   6.619   0.738  23.350   1.000 0 1
  1853 3631.34   -0.39  -0.37  23.61   0.046 23.912  23.480  23.610   2.330   0.821  43.672   1.362   0.418  41.482   3.257   0.575  66.540   0.708 1061926368970913 1
   793 2158.94   -0.05  -0.22  23.44   0.040 23.765  23.441  23.615   3.135   0.836  51.811   3.856   0.543  67.904   7.101   0.343  72.527   1.000 0 1
   933 1517.76    0.99  -0.13  23.46   0.038 23.587  23.155  23.433   4.407   0.589  35.977   4.913   0.368  35.399   9.802   0.356  32.093   0.338 1061926368969618 1
  1180 2091.37    0.07  -0.17  23.07   0.033 23.474  23.066  23.419   4.600   0.533   8.619   5.746   0.322   3.646  11.811   0.229  -1.889   1.000 0 1
  3923 1641.23   -0.32   0.31  22.19   0.027 22.867  22.195  22.266   7.009   0.529  30.347   8.417   0.427  31.894  22.582   0.401  30.698   1.000 1061926368969692 1
  2736 2609.39   -0.08  -0.18  22.30   0.028 22.712  22.296  22.541   4.337   0.714  27.437   4.932   0.558  30.761   9.768   0.480  32.470   1.000 0 1
  4768 3376.39    0.03   0.04  21.69   0.026 22.316  21.693  21.996   3.646   0.858  -8.650   3.886   0.750 -10.733  11.586   0.495 -22.389   1.000 0 1
  1661 2289.30   -0.00   0.41    nan     nan    nan     nan     nan   3.264   0.641  89.267     nan     nan     nan     nan     nan     nan     nan 0 1
  3348  160.53   -0.68  -0.23  22.87   0.031 22.996  22.764     nan   3.465   0.851  38.090   3.133   0.771  33.272   4.353   0.745  30.236   0.552 0 1
  1514 1199.63   -0.00  -0.05  20.22   0.026 20.716  20.220  20.491   4.499   0.823   7.832   5.598   0.754   6.656  12.076   0.713   4.161   0.990 0 1
  1514 1199.63   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  4378  736.64   -0.01  -0.02  21.39   0.026 21.650  21.355  21.504   3.506   0.806  39.533   3.559   0.676  37.622   5.548   0.638  34.541   0.883 0 1
  4378  736.64   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2702  786.05   -0.05   0.06  22.90   0.032 23.159  22.880  23.067   3.767   0.716  27.989   3.707   0.550  24.492   5.720   0.494  18.175   0.944 0 1
  2765 2063.05    0.38  -0.36  22.53   0.029 22.757  22.375  22.683   4.432   0.729 -47.811   4.686   0.626 -46.758   8.858   0.555 -45.598   0.632 0 1
  3815 3145.06    0.17   0.36  22.67   0.030 22.991  22.671  22.807   4.365   0.596   2.256   4.810   0.405   3.416   8.021   0.354   3.894   1.000 0 1
  1547 2974.07    0.17  -0.10    nan     nan    nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 1
  4495 3634.98   -0.34  -0.12  20.90   0.026 21.328  20.899  21.050   3.836   0.785  24.627   4.343   0.693  23.703   8.086   0.695  19.035   1.000 1061926368970922 1
  1095 3231.22   -0.04  -0.08    nan     nan    nan     nan  20.439   4.545   0.845  11.094     nan     nan     nan     nan     nan     nan     nan 1061926368970672 1
   805 1265.50    0.02  -0.03  20.05   0.026 20.539  20.054  20.318   4.275   0.871   3.022   5.324   0.811   3.923  11.136   0.787   0.955   1.000 1061926368969455 1
  4055  234.66   -0.07   0.01  21.54   0.025 21.867  21.473  21.710   3.702   0.893  24.571   3.826   0.857  23.447   6.890   0.865  20.172   0.836 1061926368968840 1
  3989  262.61   -0.13  -1.01  22.51   0.028 22.902  22.495  22.663   3.979   0.741  40.394   4.256   0.622  39.309   7.973   0.597  38.041   0.967 0 1
  3824  771.87   -0.45  -0.37  23.38   0.036 23.661  23.145  23.705   6.534   0.466   8.921   7.242   0.391  11.935  16.064   0.392  14.391   0.599 0 1
  3824  771.87   -1.00  -1.00   0.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1
  2917 1662.10   -0.04  -0.09  20.82   0.026 21.157  20.822  20.945   3.397   0.851  43.935   3.515   0.745  44.070   5.763   0.719  42.637   1.000 0 1
   764 2443.81    0.03  -0.01  20.69   0.026 20.876  20.676  20.725   3.128   0.774  43.943   2.899   0.577  43.888   3.733   0.537  43.928   0.937 1061926368970121 1
  3091 3706.76    0.09   0.04  21.08   0.026 21.333  21.083  21.047   2.993   0.777   2.483   2.784   0.546   4.172   3.918   0.528  11.157   1.000 1061926368970949 1
  3904 3825.32    0.00  -0.09  20.12   0.026 20.354  20.119  20.196   3.151   0.824  40.510   3.034   0.672  39.202   4.139   0.637  38.441   1.000 0 1
  3500 1034.59   -0.04  -0.05  20.90   0.026 21.118  20.902  20.951   2.765   0.957  -7.438   2.280   0.876 -15.640   2.974   0.854 -18.778   1.000 0 1
  2331 2597.03    0.02  -0.07  20.16   0.026 20.646  20.162  20.398   4.435   0.711   6.841   5.630   0.578   8.653  11.956   0.530   6.363   1.000 0 1
