# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 59 119972  812.61  180.52  -0.02   0.05  21.934  0.024  22.180  21.474  21.987   4.891   0.892  -2.900   5.911   0.817  -1.266  17.464   0.746   0.346   0.419 0 0 0 0 0 1 
1236 59 111106  472.69  846.41   0.01  -0.25  22.583  0.026  22.592  22.272  22.543   3.699   0.936 -80.575   3.565   0.944 -81.495   5.801   0.978  80.491   0.032 0 0 0 1061969318642135 0 1 
1236 59  85785  388.33 3969.74  -0.10  -0.02  23.097  0.033  23.097  22.820  23.106   3.107   0.990  70.552   2.748   0.959 -77.027   4.351   0.863  88.073   0.000 0 0 0 0 0 1 
1236 59  15124 1854.28 1973.04   0.10  -0.19  21.891  0.023  21.891  21.038  21.977   6.813   0.924 -83.316   8.552   0.912 -87.431  29.683   0.909  87.868   0.000 0 0 0 1061969318642860 0 1 
1236 59 159964  388.09 3288.27   0.21   0.16  21.442  0.023  21.767  20.913  21.161   6.578   0.896 -52.314   8.250   0.903 -52.619  27.915   0.909 -54.593   0.467 0 0 0 1061969318643725 0 1 
1236 59   8439  420.46 4072.35   0.21   0.40  23.138  0.032  23.153  22.638     nan   4.460   0.882  -0.756   4.728   0.832   6.341  10.816   0.772  13.349   0.037 0 0 0 0 0 1 
1236 59  30739 1463.48 2901.25   0.02   0.19  21.972  0.024  22.167  21.510  22.149   5.195   0.839   6.855   6.097   0.800   6.259  16.734   0.764   1.616   0.354 0 0 0 1061969318643414 0 1 
1236 59  24622  165.64  650.05   0.16  -0.01     nan    nan     nan     nan  21.246   5.439   0.984  77.424     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061969318642035 0 1 
1236 59  51531 1373.58 1063.51   0.26   0.23  22.387  0.025  22.387  21.769     nan   4.780   0.936 -81.751   5.253   0.927 -82.149  13.631   0.914 -84.980   0.000 0 0 0 0 0 1 
1236 59  46784  150.48  134.38  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 59  56863  656.83 2940.63  -0.09  -0.22  22.297  0.025  22.333  22.025  22.308   3.294   0.995 -49.394   3.026   0.962   8.083   4.986   0.903  73.334   0.127 0 0 0 0 2 1 
1236 59 187345  722.97 3509.99   1.96   0.23  20.131  0.023  21.046  20.133  20.799   9.159   0.643  13.025  11.431   0.696  14.631  40.629   0.696  12.817   1.000 0 0 0 1061969318643855 0 1 
1236 59 146524  894.47 2349.88  -0.17  -0.28  22.950  0.029  22.950  22.572  23.541   3.820   0.899   6.068   3.744   0.840   5.435   6.833   0.845   9.600   0.000 0 0 0 0 0 1 
1236 59 196167 1417.31 2259.09  -0.20  -0.09  21.583  0.023  21.583  20.943  24.426   5.403   0.899  20.517   6.299   0.856  16.478  17.371   0.806  19.389   0.000 0 0 0 1061969318643028 0 1 
1236 59  34489 1182.04 2168.68   0.06  -0.25  19.983  0.023  20.001  19.017  19.996   9.903   0.945 -20.330  13.324   0.938 -22.906  54.092   0.928 -27.488   0.028 0 0 0 1061969318642963 0 1 
1236 59 1075146 1814.76 1046.75   0.10  -0.27  23.072  0.029  23.071  22.458     nan   5.414   0.826 -76.531   5.869   0.820 -72.603  15.080   0.846 -67.226   0.000 0 0 0 0 0 1 
1236 59 177247  106.21  512.79  -0.10  -0.23  22.200  0.024  22.200  21.528  22.238   5.154   0.919 -41.236   5.878   0.897 -32.313  16.341   0.875 -25.861   0.000 0 0 0 0 0 1 
1236 59  58248  684.84 3035.06  -0.27   0.26  22.919  0.029  22.919  22.481  25.880   4.235   0.788 -51.482   4.431   0.689 -49.283   9.129   0.636 -48.413   0.000 0 0 0 0 0 1 
1236 59 100250  358.77 3542.67  -1.22   0.55     nan    nan     nan     nan     nan   3.261   0.897  54.813     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
