# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 64  23863 1963.14 1744.03   0.08  -0.09  20.749  0.024  20.847  20.319  20.800   5.409   0.741 -18.063   6.362   0.668 -18.557  15.124   0.615 -19.301   0.214 0 0 0 0 0 1 
1236 64 165137 1535.62 1984.66  -0.45   0.63  23.232  0.034  23.232  22.675     nan   5.396   0.695  38.208   5.834   0.635  37.017  13.807   0.629  37.245   0.000 0 0 0 0 0 1 
1236 64  49301   31.72 2284.69  -0.72   0.31  22.299  0.026  22.739  22.224     nan   4.336   0.911 -67.295   4.719   0.855 -64.321  10.392   0.828 -60.573   0.877 0 0 0 0 0 1 
1236 64 156740 1722.32 2612.37  -0.20  -0.15  22.561  0.027  22.590  22.085  22.529   4.593   0.741 -29.654   5.201   0.612 -28.988  12.012   0.539 -28.087   0.069 0 0 0 0 0 1 
1236 64 140065 1104.11   28.11  -0.11  -0.11  23.030  0.034  23.030  22.925     nan   3.656   0.678  56.817   3.253   0.474  55.479   3.865   0.330  52.875   0.000 0 0 0 0 0 1 
1236 64 188982 2007.21 1442.51  -0.21   1.49  19.603  0.024  19.846  19.361  19.741   5.094   0.794 -41.365   6.242   0.701 -39.354  13.868   0.643 -39.454   0.535 0 0 0 0 0 1 
1236 64  91053  133.58  482.00   0.04   0.05  22.646  0.029  22.645  22.425     nan   3.726   0.813  -3.338   3.531   0.666  -5.237   5.054   0.607  -6.729   0.000 0 0 0 1061990793478436 0 1 
1236 64 144561 1123.22 3862.62  -0.06  -0.13     nan    nan     nan     nan     nan   3.248   0.841  -0.196     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 64 100458 1629.79  175.94   0.56   0.10  22.773  0.029  22.792  22.326  22.691   4.226   0.878  19.824   4.462   0.800  19.886   9.648   0.729  23.824   0.049 0 0 0 1061990793478241 0 1 
1236 64 174368  598.31 3170.53  -0.37  -0.28  22.542  0.027  22.542  22.163  22.426   5.275   0.569  33.068   5.804   0.417  32.626  11.733   0.321  32.674   0.000 0 0 0 0 0 1 
1236 64 105519 1488.94  267.71  -0.14  -0.46  22.633  0.029  22.751  22.432  22.529   3.627   0.868  14.794   3.430   0.764   7.828   5.741   0.705   3.480   0.390 0 0 0 1061990793478297 0 1 
1236 64   5957 1634.81 2498.83  -0.55   0.02  22.637  0.028  22.900  22.274  22.892   4.986   0.782 -62.421   5.739   0.699 -64.706  15.144   0.646 -67.052   0.484 0 0 0 0 0 1 
1236 64  14713  673.24  701.05   0.23  -0.22  21.566  0.025  21.593  20.939  21.598   5.645   0.810 -59.569   6.633   0.757 -58.370  18.496   0.701 -57.283   0.054 0 0 0 0 0 1 
1236 64  64087  402.35 2462.47   0.19   1.02  22.526  0.027  22.525  22.030     nan   4.732   0.856  83.664   4.945   0.851  78.290  10.851   0.847  72.114   0.000 0 0 0 0 0 1 
1236 64  83561  965.04 3527.04  -0.14   0.07  22.273  0.026  22.385  21.872     nan   4.904   0.806  -9.880   5.556   0.713 -12.940  12.855   0.651 -15.125   0.254 0 0 0 0 2 1 
1236 64  82089  847.59 3132.74  -1.27  -0.53  23.628  0.046  24.206  23.627  23.970   4.130   0.506 -23.213   4.037   0.138 -23.217   8.772   0.350 -23.215   1.000 0 0 0 1061990793480008 0 1 
1236 64   5387 1514.51 4023.56   0.05   0.16  22.219  0.026  22.218  21.766  22.212   4.969   0.672  61.029   5.476   0.560  60.437  11.961   0.482  59.884   0.000 0 0 0 1061990793480553 0 1 
1236 64 109301 1056.68 2291.17   0.13   0.13  23.017  0.032  23.016  22.575  23.012   4.494   0.689  59.553   4.848   0.563  60.934  10.433   0.471  62.574   0.000 0 0 0 0 0 1 
1236 64 107647 1686.66 1747.01   0.17  -0.12  22.868  0.031  22.876  22.642  22.605   3.426   0.799  78.779   3.091   0.662  80.994   4.440   0.605  80.786   0.036 0 0 0 0 0 1 
1236 64  87034  685.97 3697.27   0.33   0.03  22.607  0.028  22.703  22.176     nan   4.995   0.658  13.570   5.691   0.543  11.124  13.517   0.479   8.915   0.216 0 0 0 0 0 1 
1236 64 154471   47.41 1617.75  -0.64   0.10  22.828  0.029  22.827  22.281     nan   6.025   0.546 -49.710   6.789   0.446 -48.539  16.545   0.417 -47.916   0.000 0 0 0 0 0 1 
1236 64 159042 1556.97 3707.13   0.33   0.10  22.875  0.029  22.875  22.312  22.788   5.062   0.730  -9.154   5.783   0.628  -6.674  14.356   0.577  -4.796   0.000 0 0 0 1061990793480362 0 1 
1236 64 162288  450.86 1300.27   0.77   1.19  21.708  0.025  21.707  21.382  21.683   4.119   0.722  59.647   4.220   0.589  60.055   7.384   0.523  61.260   0.000 0 0 0 0 0 1 
1236 64  26242 1579.20 1968.46   0.15  -0.12  21.786  0.025  21.829  21.555  21.823   4.100   0.671 -13.758   4.356   0.452 -15.162   7.204   0.354 -15.079   0.166 0 0 0 0 0 1 
1236 64 111259 1929.27 1796.96   0.14   0.05  22.967  0.031  23.039  22.630     nan   5.101   0.578 -83.517   5.708   0.416 -83.558  11.785   0.331 -82.688   0.200 0 0 0 0 0 1 
1236 64  79810 2017.32  262.78  -0.32   0.22  21.887  0.025  21.887  21.369  21.886   4.572   0.934  34.068   4.984   0.903  28.943  11.358   0.875  25.650   0.000 0 0 0 0 0 1 
1236 64 174552 1917.96 1977.86  -0.01  -0.03  21.910  0.025  21.910  21.479  21.906   4.259   0.875  85.323   4.435   0.836  87.920   8.912   0.811  88.382   0.000 0 0 0 0 0 1 
1236 64 108651 1618.79 2238.88  -0.07  -0.10  22.304  0.026  22.303  21.932  23.615   4.163   0.824  20.990   4.350   0.709  15.610   8.267   0.628  14.065   0.000 0 0 0 0 0 1 
1236 64   9749  203.59 1302.32  -0.11  -0.10  21.348  0.025  21.408  21.023  21.356   4.067   0.906  59.903   4.197   0.874  59.001   7.768   0.860  56.430   0.174 0 0 0 0 0 1 
1236 64 136746 1990.49 3402.25  -0.09   0.15  22.783  0.030  22.888  22.690  22.788   3.057   0.879  63.242   2.526   0.831  65.436   3.118   0.871  52.483   0.537 0 0 0 1061990793480188 0 1 
1236 64  70878  895.73 2119.30   0.03  -0.22  22.209  0.026  22.294  21.970  22.187   4.009   0.690 -42.947   4.054   0.493 -41.505   6.882   0.456 -39.432   0.284 0 0 0 1061990793479415 0 1 
1236 64 125753 1975.86 2050.90  -0.02  -0.11  20.848  0.024  20.869  20.521  20.858   4.604   0.699 -16.833   5.109   0.545 -17.129   9.487   0.464 -17.371   0.066 0 0 0 0 0 1 
1236 64 125291 2017.63  734.53  -0.21   0.19  23.060  0.033  23.060  22.752     nan   4.338   0.670  85.641   4.375   0.511  87.251   7.561   0.430  88.965   0.000 0 0 0 0 0 1 
1236 64  81664 1012.69 2393.40  -0.09   0.02  22.570  0.029  22.569  22.399  22.565   3.144   0.857  24.670   2.719   0.737  18.633   3.412   0.687  18.800   0.000 0 0 0 0 0 1 
1236 64 198533 1954.46 3434.00  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 64  18408  427.52 1731.97  -0.10  -0.01  22.903  0.032  22.903  22.738  22.832   3.102   0.782  23.324   2.712   0.561  20.823   3.359   0.513  19.788   0.000 0 0 0 0 0 1 
1236 64 156204 1832.85 2862.85  -0.57   0.09  22.782  0.029  22.782  22.296     nan   5.567   0.617 -14.570   6.240   0.485 -15.406  14.561   0.400 -16.246   0.000 0 0 0 0 0 1 
1236 64  71710 1024.76 3925.43  -0.08  -0.15  19.450  0.025  19.464  18.897  19.443   5.877   0.830  82.113   7.104   0.798  83.592  17.736   0.774  84.844   0.032 0 0 0 1061990793480495 0 1 
1236 64 134315  904.28 2222.72   0.05  -0.22  22.268  0.027  22.267  22.128  22.283   3.548   0.677  41.836   3.253   0.454  39.954   4.007   0.358  39.700   0.000 0 0 0 0 0 1 
1236 64 191503 1981.27 1115.77  -0.06  -0.25  21.970  0.025  22.128  21.725  22.033   3.920   0.903 -84.988   4.095   0.827 -81.893   7.809   0.786 -82.181   0.423 0 0 0 0 0 1 
1236 64  10352  167.56 3064.50  -0.03   0.04  22.096  0.025  22.095  21.551     nan   4.978   0.840  77.529   5.600   0.787  78.986  13.474   0.750  83.695   0.000 0 0 0 1061990793479975 0 1 
1236 64 177317  257.28 2661.07  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 64 153941  648.72 2927.26   1.87  -0.22  21.415  0.024  21.415  20.810  21.445   5.993   0.623   7.361   7.126   0.523   6.694  19.481   0.456   5.864   0.000 0 0 0 0 2 1 
1236 64 162798  437.81 3936.96   0.05   0.07  22.879  0.030  22.879  22.560     nan   3.666   0.916  79.248   3.487   0.878  84.430   6.029   0.813  81.598   0.000 0 0 0 0 0 1 
1236 64 126744  349.16 3724.40  -0.02   0.09  21.536  0.025  21.924  21.489  21.917   4.190   0.848 -36.382   7.849   0.412 -35.693  17.004   0.325 -35.150   0.896 0 0 0 0 2 1 
1236 64 185103 1516.67 2928.56  -0.52   0.28  22.509  0.027  22.664  22.096  22.783   4.293   0.926  38.552   4.764   0.888   7.372  11.820   0.812  -3.581   0.320 0 0 0 0 2 1 
1236 64 185350  972.70 3182.36   0.16  -0.23  23.158  0.035  23.158  23.060  23.183   3.072   0.841  -4.853   2.649   0.608 -10.284   3.105   0.421 -11.065   0.000 0 0 0 0 0 1 
1236 64  11633  611.24 2442.45   0.32  -0.12  22.482  0.028  22.598  22.305  22.508   3.524   0.804 -82.703   3.443   0.676 -82.051   5.430   0.640 -83.494   0.417 0 0 0 0 0 1 
1236 64  64634 1015.25 2265.81  -0.02  -0.03  21.934  0.025  22.341  21.846  22.213   3.931   0.882  24.872   4.133   0.798  19.993   9.812   0.614  14.056   0.847 0 0 0 0 2 1 
1236 64 107372 1242.13  465.88   0.04  -0.07  20.946  0.024  20.946  20.252  20.962   8.006   0.549  -4.367  10.125   0.459  -4.429  31.220   0.390  -4.283   0.000 0 0 0 0 0 1 
