# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71    -0.07    -0.03   24.642   0.104    single  deblend  0 
1171.30   1266.32    -0.44     0.32   24.946   0.134    single  isolate  0 
1171.30   1266.32    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1171.30   1266.32    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 839.22   1590.61    -0.15    -0.45   24.939   0.133    single  isolate  1 
1180.75   3914.05     0.05    -0.27   25.101   0.155    single  isolate  1 
1267.62    325.56     0.36     0.47   24.825   0.123    single  deblend  1 
1267.62    325.56    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1267.62    325.56    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 720.39   3175.70    -0.60    -0.50   24.588   0.098    single  deblend  1 
 720.39   3175.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1792.41   2873.81    -0.22    -0.01   24.981   0.139    single  isolate  0 
1792.41   2873.81    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1792.41   2873.81    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 299.89   3708.59     0.16    -0.20   25.093   0.154    single  isolate  0 
1832.72   2256.12    -0.09     0.15   24.857   0.125    single  isolate  0 
1832.72   2256.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1832.72   2256.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1832.72   2256.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1832.72   2256.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1832.72   2256.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1832.72   2256.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  26.26   3215.00    -0.41    -0.35   25.016   0.143    single  deblend  1 
1424.21    975.52     0.05    -0.50   25.092   0.154    single  isolate  1 
1424.21    975.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1424.21    975.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1172.18   2558.52     0.28    -0.32   25.091   0.151    single  isolate  0 
1172.18   2558.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1172.18   2558.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  59.35    366.20     0.40    -0.31   25.095   0.156    single  isolate  0 
  59.35    366.20    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1843.14    418.08    -0.51     1.01   25.009   0.146    single  isolate  1 
 918.97   1960.33    -0.21    -0.49   25.055   0.147    single  isolate  0 
 918.97   1960.33    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 918.97   1960.33    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 918.97   1960.33    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
2004.15   2751.57    -0.34    -0.14   24.854   0.124  multiple  deblend  1 
2004.15   2751.57    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1694.76   1725.94    -0.11    -0.10   24.823   0.121    single  isolate  0 
1694.76   1725.94    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1955.97     68.74     0.38     0.07   25.094   0.159    single  isolate  0 
1955.97     68.74    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1408.40   1217.83    -0.04     0.86   25.083   0.152    single  isolate  0 
1408.40   1217.83    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 865.24   2797.12    -0.67     0.32   24.881   0.126    single  isolate  0 
1782.05   2792.46     1.52     0.01   25.116   0.156    single  deblend  1 
1782.05   2792.46    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1782.05   2792.46    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1782.05   2792.46    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1782.05   2792.46    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1409.30   2162.54     0.59     0.33   24.946   0.134    single  isolate  0 
1409.30   2162.54    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1409.30   2162.54    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 417.89   3238.36    -0.20     0.20   25.042   0.146    single  isolate  0 
 417.89   3238.36    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1365.46   3798.82    -0.41    -0.01   24.561   0.097  multiple  deblend  1 
  75.44   2229.77     0.72    -0.18   25.045   0.146    single  isolate  0 
  75.44   2229.77    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 713.70   2789.23     0.11    -1.18   25.016   0.142    single  isolate  1 
 713.70   2789.23    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  20.73    550.17     0.27    -0.17   25.090   0.155    single  isolate  0 
  20.73    550.17    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  20.73    550.17    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 857.05   4142.86    -0.06     0.16   24.916   0.132    single  isolate  0 
1815.08   3448.19    -0.07    -0.69   25.065   0.151    single  isolate  0 
1815.08   3448.19    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 553.19   1256.28    -0.78     0.31   25.008   0.142    single  isolate  1 
1271.59   2698.30     0.37    -0.51   25.039   0.145    single  deblend  0 
 583.07   1864.82     0.27     0.10   25.038   0.145    single  isolate  0 
 583.07   1864.82    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1413.47   2058.81     0.27     0.04   25.021   0.143    single  isolate  1 
1526.63   2657.32     0.18     0.12   25.092   0.152    single  isolate  0 
 851.10   3947.54     0.56     0.04   24.732   0.113    single  isolate  0 
 851.10   3947.54    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
