# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71     0.37    -0.07   24.947   0.138    single  isolate  1 
1171.30   1266.32    -0.09     0.66   25.069   0.153    single  isolate  0 
1832.68   3210.27     0.03     0.27   25.133   0.166    single  isolate  0 
 495.98   3174.41    -0.20    -0.35   24.931   0.137    single  isolate  0 
 495.98   3174.41    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 495.98   3174.41    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1267.62    325.56    -0.36    -0.80   24.954   0.138    single  isolate  1 
1351.36   2079.68    -0.06     0.00   25.089   0.157    single  isolate  0 
1817.65   3132.53    -0.54     0.23   25.031   0.151    single  isolate  0 
 720.39   3175.70     0.17    -0.41   24.917   0.135    single  isolate  0 
1526.89   1483.68     0.28    -0.70   24.737   0.115    single  isolate  0 
1792.41   2873.81     0.45    -0.08   25.097   0.160    single  isolate  1 
1476.85    542.69     0.70     0.21   25.061   0.152    single  isolate  0 
1476.85    542.69    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 299.89   3708.59     0.36     0.77   25.054   0.154    single  isolate  1 
 299.89   3708.59    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1197.13   3671.34     1.47    -0.50   25.027   0.150    single  isolate  1 
 718.12   2381.05    -0.20    -0.74   25.062   0.153    single  isolate  0 
1915.36    143.70    -0.68    -0.65   25.011   0.146    single  isolate  0 
1095.51    207.96     0.02    -0.11   25.027   0.148    single  isolate  0 
 851.34   2255.34    -0.38    -0.66   24.958   0.139    single  isolate  0 
 851.34   2255.34    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  26.26   3215.00    -0.23     0.82   24.945   0.140    single  isolate  0 
1424.21    975.52     0.45     0.12   24.965   0.140    single  deblend  1 
1424.21    975.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 314.84   3974.82    -0.22    -0.14   24.842   0.128  multiple  isolate  0 
1172.18   2558.52    -0.88    -0.00   24.996   0.144    single  isolate  0 
 127.55   2359.98    -0.11    -0.55   25.003   0.146    single  isolate  0 
1006.60   2436.36     0.75    -1.28   25.210   0.175    single  isolate  1 
  59.35    366.20     0.85     0.44   24.648   0.108    single  isolate  0 
 597.78    514.47    -0.17    -0.50   25.035   0.150    single  isolate  0 
1843.14    418.08    -0.55    -0.48   24.829   0.124    single  isolate  0 
 918.97   1960.33    -0.19     0.61   25.176   0.169    single  isolate  0 
 918.97   1960.33    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 918.97   1960.33    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1521.32   1254.48     0.72     0.08   25.135   0.163    single  isolate  0 
2004.15   2751.57    -0.31     0.41   24.848   0.129    single  isolate  1 
  57.19    161.76     0.49    -0.18   24.936   0.139    single  isolate  1 
1694.76   1725.94     0.50    -0.05   25.007   0.146    single  isolate  0 
1397.62   3258.72    -0.66    -0.58   25.097   0.160    single  isolate  1 
1397.62   3258.72    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 653.42    608.02    -0.17     0.61   25.141   0.164    single  isolate  0 
1408.40   1217.83     0.11     0.37   24.512   0.094    single  isolate  1 
1942.03   1722.83     0.10     0.15   25.088   0.158    single  isolate  0 
1942.03   1722.83    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1782.05   2792.46     0.01    -0.19   24.832   0.126    single  deblend  0 
 361.18    265.41     0.03     0.24   24.695   0.112    single  isolate  1 
  98.84   1149.29     0.13     0.29   25.007   0.147    single  isolate  0 
 191.10   3450.08    -0.27     0.88   24.948   0.140    single  deblend  1 
 191.10   3450.08    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1409.30   2162.54    -0.22    -0.18   25.098   0.158    single  isolate  0 
 649.23    404.14    -0.19     0.13   25.088   0.157    single  isolate  0 
1626.79   2980.32     0.49    -1.30   24.760   0.118    single  isolate  1 
 417.89   3238.36     0.09    -0.34   25.093   0.159    single  isolate  1 
 417.89   3238.36    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1365.46   3798.82     0.14    -0.67   25.061   0.155    single  isolate  0 
1365.46   3798.82    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 816.42   3888.02    -0.16    -0.75   24.895   0.134    single  isolate  1 
 713.70   2789.23     0.51     0.54   25.150   0.166    single  isolate  1 
 314.89    996.49    -0.23    -0.29   24.921   0.136    single  isolate  1 
 314.89    996.49    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 314.89    996.49    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 609.49   3755.03     0.19     0.57   25.060   0.155    single  isolate  0 
 857.05   4142.86    -0.23    -0.57   24.951   0.141    single  isolate  0 
1815.08   3448.19     0.02    -0.88   24.928   0.139    single  isolate  0 
1382.24   3810.80    -0.40    -0.15   24.986   0.145    single  isolate  1 
 553.19   1256.28     0.41    -0.60   24.745   0.116    single  isolate  1 
1271.59   2698.30     0.42     0.24   24.732   0.115    single  isolate  1 
1271.59   2698.30    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1962.83   3339.10    -0.33     0.26   24.869   0.132    single  isolate  0 
1962.83   3339.10    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1526.63   2657.32     0.12    -0.55   24.862   0.129    single  isolate  1 
 851.10   3947.54    -0.11     0.01   25.133   0.165    single  isolate  0 
 851.10   3947.54    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1640.13   1581.43     0.14    -0.13   24.871   0.129  multiple  isolate  0 
 445.03   3784.29     0.33     0.06   25.053   0.154    single  isolate  1 
1101.37   3519.15    -0.12     0.22   25.026   0.149    single  isolate  1 
 217.78   2472.23    -0.05    -0.60   25.123   0.163    single  isolate  0 
 250.68   3273.76     0.29     0.04   25.160   0.169    single  isolate  0 
