# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71     1.53     0.32   24.991   0.152    single  deblend  1 
1258.49    652.71    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1832.68   3210.27    -0.25     0.57   25.075   0.165    single  isolate  1 
1832.68   3210.27    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 839.22   1590.61    -0.06     0.09   24.947   0.146    single  isolate  0 
 839.22   1590.61    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 839.22   1590.61    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 839.22   1590.61    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1817.65   3132.53    -0.38    -0.07   24.878   0.139    single  isolate  0 
 720.39   3175.70    -0.34     0.01   25.026   0.156    single  deblend  1 
 720.39   3175.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 720.39   3175.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1476.85    542.69     0.06    -0.06   25.087   0.165    single  isolate  1 
1476.85    542.69    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 299.89   3708.59     0.90    -0.29   24.629   0.108    single  deblend  1 
 299.89   3708.59    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 299.89   3708.59    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 718.12   2381.05     0.13    -0.68   24.937   0.145    single  isolate  1 
1915.36    143.70     0.22     0.13   24.950   0.144    single  isolate  1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 314.84   3974.82    -0.96    -0.06   24.823   0.128    single  deblend  1 
 314.84   3974.82    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 314.84   3974.82    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 314.84   3974.82    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
  59.35    366.20     0.14     0.65   25.015   0.151    single  isolate  1 
 597.78    514.47     0.10    -0.37   24.570   0.104    single  isolate  0 
1843.14    418.08    -0.70    -0.17   24.874   0.135    single  isolate  1 
 918.97   1960.33     0.07    -0.16   24.741   0.122    single  isolate  0 
 918.97   1960.33    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 918.97   1960.33    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1521.32   1254.48     0.41    -0.06   24.802   0.128    single  isolate  0 
2004.15   2751.57    -0.03    -0.60   24.998   0.153    single  isolate  1 
2004.15   2751.57    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1694.76   1725.94     0.14     0.18   25.065   0.163    single  isolate  0 
1694.76   1725.94    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1694.76   1725.94    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 653.42    608.02    -0.88    -0.41   24.965   0.148    single  isolate  1 
