# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71    -1.19     0.13   24.096   0.066    single  isolate  1 
1171.30   1266.32    -1.24     0.03   25.168   0.159    single  isolate  1 
1832.68   3210.27    -0.05     0.42   24.966   0.135    single  isolate  0 
 495.98   3174.41    -0.11    -0.21   25.074   0.146    single  isolate  0 
 839.22   1590.61     0.39     0.55   24.964   0.133    single  isolate  1 
1180.75   3914.05     0.50    -0.22   25.094   0.149    single  isolate  0 
1267.62    325.56    -0.58    -0.43   25.131   0.155    single  isolate  1 
1351.36   2079.68    -0.25     0.17   25.208   0.165    single  isolate  1 
1817.65   3132.53    -0.41     0.56   25.025   0.142    single  isolate  0 
 720.39   3175.70     0.15    -0.18   24.848   0.120    single  isolate  1 
1526.89   1483.68    -0.02    -0.40   25.188   0.162    single  isolate  0 
1526.89   1483.68    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1476.85    542.69    -0.05    -0.05   25.207   0.165    single  isolate  0 
 352.20   2717.10    -0.28    -0.74   25.057   0.145    single  isolate  1 
 352.20   2717.10    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 352.20   2717.10    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 352.20   2717.10    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 718.12   2381.05     0.62    -0.40   25.163   0.158    single  isolate  0 
1915.36    143.70     0.58    -0.38   25.078   0.148    single  isolate  1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1915.36    143.70    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 225.78   2225.78     0.36     0.20   25.175   0.162    single  isolate  0 
  26.26   3215.00    -0.23     0.21   25.019   0.140    single  isolate  0 
1424.21    975.52    -0.50     0.16   25.086   0.148    single  isolate  0 
1424.21    975.52    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 314.84   3974.82    -0.87     0.34   25.095   0.149    single  deblend  0 
1172.18   2558.52     0.09     0.12   24.898   0.125    single  isolate  0 
 127.55   2359.98    -0.05     0.30   25.171   0.161    single  isolate  0 
 127.55   2359.98    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 127.55   2359.98    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 597.78    514.47     0.23    -0.27   24.934   0.131    single  isolate  0 
1843.14    418.08    -0.08     0.04   24.972   0.135    single  isolate  0 
 918.97   1960.33    -0.02    -0.08   24.885   0.124    single  deblend  0 
 227.57    323.79     0.26    -0.16   24.935   0.133    single  isolate  0 
1603.79    938.76    -0.07     0.02   25.085   0.148    single  isolate  0 
1521.32   1254.48     0.09     0.15   25.054   0.144    single  isolate  0 
