# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
 561.98   1494.40     0.12    -0.18   24.823   0.119    single  deblend  0 
 561.98   1494.40    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 296.27   1872.45    -0.55     0.12   25.133   0.159    single  isolate  1 
1925.17    285.35    -0.20    -0.25   25.107   0.156    single  isolate  0 
 626.98   4150.53     0.19     0.23   24.982   0.137    single  isolate  0 
 430.63   1853.73     1.07     0.69   24.229   0.070    single  isolate  0 
 281.34   2190.02    -0.03    -0.12   25.029   0.145    single  deblend  0 
 857.61   1910.59     0.20    -0.17   24.988   0.137  multiple  deblend  0 
 861.40   1315.57    -0.22     0.34   25.046   0.145    single  isolate  0 
1141.23   1801.01     0.32     1.13   25.088   0.150    single  isolate  1 
1465.47   3875.69     0.26     0.33   25.191   0.163    single  deblend  1 
1352.07    599.12    -0.10    -0.04   25.119   0.155    single  isolate  1 
1395.05   2188.98     0.06    -0.30   25.156   0.159    single  isolate  0 
1053.37   3296.30     0.61     0.50   24.858   0.122    single  isolate  1 
 394.14   1624.12    -0.34     0.13   25.014   0.142    single  isolate  0 
 394.14   1624.12    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1090.03    837.17     0.06     0.10   24.907   0.128    single  deblend  1 
