# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71     0.01     0.04   23.025   0.038    single  isolate  0 
1171.30   1266.32    -0.02    -0.01   23.024   0.038    single  isolate  0 
1832.68   3210.27     0.02     0.05   23.049   0.039    single  isolate  0 
 495.98   3174.41    -0.05     0.08   23.016   0.038    single  isolate  0 
 839.22   1590.61    -0.08    -0.07   23.013   0.038    single  isolate  0 
1180.75   3914.05    -0.15    -0.06   23.005   0.039    single  isolate  0 
1267.62    325.56     0.06     0.03   23.051   0.039    single  isolate  0 
1351.36   2079.68    -0.04     0.03   23.055   0.039  multiple  isolate  0 
1817.65   3132.53     0.02     0.03   23.060   0.040    single  isolate  0 
 720.39   3175.70    -0.09     0.01   23.018   0.039  multiple  isolate  0 
1526.89   1483.68     0.04     0.11   22.995   0.038  multiple  isolate  0 
1792.41   2873.81     0.16     0.37   22.930   0.037    single  isolate  1 
1476.85    542.69     0.17     0.07   22.951   0.037    single  deblend  0 
 352.20   2717.10     0.03    -0.06   23.016   0.038  multiple  isolate  0 
 299.89   3708.59     0.00     0.08   23.005   0.038    single  isolate  0 
1832.72   2256.12     0.08    -0.04   23.010   0.039    single  isolate  0 
1197.13   3671.34     0.07     0.09   23.007   0.039  multiple  deblend  0 
 718.12   2381.05     0.13    -0.11   22.974   0.038  multiple  deblend  0 
1915.36    143.70    -0.16    -0.08   23.030   0.039    single  isolate  0 
1095.51    207.96     0.11     0.07   23.038   0.039    single  isolate  0 
 851.34   2255.34    -0.06     0.04   23.018   0.038    single  isolate  0 
 225.78   2225.78    -0.09     0.00   23.003   0.038    single  isolate  1 
  26.26   3215.00     0.07    -0.06   23.045   0.039    single  deblend  0 
1424.21    975.52     0.15    -0.01   23.021   0.038    single  isolate  0 
1202.65   1099.39     0.00     0.07   23.003   0.038    single  isolate  1 
 314.84   3974.82    -0.04    -0.01   23.046   0.039    single  deblend  0 
1172.18   2558.52    -0.07     0.14   23.032   0.039    single  isolate  0 
 127.55   2359.98     0.06    -0.11   23.080   0.039    single  isolate  0 
1006.60   2436.36    -0.07     0.06   22.968   0.038  multiple  deblend  1 
  59.35    366.20    -0.13    -0.03   23.067   0.039    single  deblend  1 
 597.78    514.47    -0.00     0.05   23.078   0.039    single  isolate  0 
1843.14    418.08     0.02     0.01   23.036   0.039    single  isolate  0 
 918.97   1960.33    -0.05    -0.06   23.016   0.038    single  deblend  0 
 227.57    323.79     0.13    -0.06   23.047   0.039  multiple  deblend  0 
1603.79    938.76    -0.07     0.18   23.026   0.039    single  deblend  0 
1521.32   1254.48     0.05    -0.08   23.065   0.039  multiple  deblend  0 
2004.15   2751.57     0.10    -0.04   22.999   0.038    single  isolate  0 
  57.19    161.76    -0.01    -0.02   23.053   0.039    single  isolate  0 
1694.76   1725.94    -0.06    -0.01   22.997   0.038    single  isolate  0 
1397.62   3258.72    -0.05    -0.12   23.049   0.039  multiple  deblend  0 
1955.97     68.74     0.02     0.07   22.999   0.038    single  isolate  0 
 653.42    608.02     0.08    -0.01   23.006   0.038    single  isolate  0 
1408.40   1217.83     0.03     0.01   23.064   0.039    single  isolate  0 
1942.03   1722.83     0.06    -0.02   23.060   0.039    single  isolate  0 
 865.24   2797.12     0.10    -0.14   22.978   0.038    single  isolate  0 
