id fakeid visit ccd cmodelMag expMag devMag expReff devReff expBA devBA expPosAng devPosAng cmodelMagErr expMagErr fracDev devMagErr nchild parent
1061818994786329 2182 1236 24 20.3942999715 20.7318294756 20.3674765859 3.97905839921 6.92556072553 0.821224477507 0.789927307188 15.0215365083 12.1079087507 0.101328666971 0.10578989695 0.932129957448 0.10513834344 0 0
1061818994788023 1547 1236 24 23.3288442554 23.6556582694 23.3295444262 4.16894455937 6.91759612923 0.451173103141 0.403938141691 30.4971173509 30.9290670571 0.182914648297 0.384870264937 1.0 0.3800807511 0 0
1061818994786773 2702 1236 24 22.6747965756 22.9881988787 22.6436871398 4.04573050893 7.15502158373 0.583076908614 0.503162283392 14.5573067356 13.9186888003 0.131915737693 0.238217651317 0.91789054678 0.236879218016 0 0
1061818994788381 4495 1236 24 20.9833435172 21.5081748069 20.9852427537 3.45727074933 8.77652602844 0.638183304403 0.434266017037 54.1317048228 50.7992548399 0.103168281824 0.114756936818 1.0 0.113635220356 2 0
1061818994789613 4495 1236 24 21.1975272695 21.5029131489 21.1984534161 3.50673613322 5.61400392026 0.632722795499 0.559266314352 54.8888797141 56.7465515274 0.104044301747 0.114772814332 1.0 0.113939375367 0 1061818994788381
1061818994788425 3091 1236 24 21.201168573 21.3779626581 21.2018773077 2.65999162466 3.26513947158 0.531604765851 0.484671732764 3.20158157489 2.51541546504 0.105335709356 0.110767013053 1.0 0.110144790559 0 0
1061818994786411 3348 1236 24 22.9199334482 23.1271027164 22.887175507 3.51192163048 5.0107667709 0.487615187291 0.440951765391 57.0670389582 54.7666359354 0.151445041757 0.24818312405 0.872297515138 0.246994364352 0 0
1061818994788774 3989 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 1061818994786473
1061818994786742 4378 1236 24 21.2316863509 21.5838307609 21.2319610592 3.71529740422 6.19351890544 0.678663035214 0.67727830694 44.7394781908 44.1168185666 0.104207596482 0.118537072875 1.0 0.117686288542 2 0
1061818994788901 4378 1236 24 21.226570081 21.5823687728 21.2268833391 3.75430350219 6.40437769928 0.666739574341 0.638341405419 43.685822553 41.2310806258 0.104180746292 0.118544795977 1.0 0.117676384677 0 1061818994786742
1061818994787809 2331 1236 24 20.2776703281 20.6945750414 20.2782767513 5.27206568554 10.1783095282 0.561524598492 0.514398427124 4.07389468293 3.28179671306 0.102772396271 0.107373604315 1.0 0.106708540986 4 0
1061818994789322 2331 1236 24 20.3253454104 20.7001177943 20.3046400486 5.22494975775 9.74902333904 0.562939770774 0.521534887819 4.15434180577 4.20204648774 0.102814758429 0.107375740716 0.951482342619 0.106734631649 0 1061818994787809
1061818994787540 1180 1236 24 23.3186175444 23.50457984 23.1098337526 4.07521774833 7.61452847404 0.684368042948 0.649326207007 29.869832049 26.206877563 0.180424754617 0.373589705123 0.507045818672 0.373850852481 0 0
1061818994788227 4768 1236 24 21.8009182266 22.2269143813 21.7847641989 4.23239916029 8.31815428804 0.869222682095 0.850206559592 -9.96362876721 -12.4981263291 0.108253682341 0.159248106592 0.967210803069 0.158044616457 0 0
1061818994788848 1442 1236 24 nan nan nan nan nan nan nan nan nan nan nan nan nan 0 1061818994786623
1061818994787190 933 1236 24 23.6200130727 23.8816219275 23.6137772207 4.29606252284 6.8274329929 0.362040241038 0.27633313253 0.434673264295 -0.0902318538274 0.230616090538 0.47480625747 0.977817562072 0.472607964632 0 0
1061818994787192 2983 1236 24 20.2993679405 20.5519210782 20.3000717669 3.77385427853 5.52006749785 0.490731611467 0.429082547357 19.4427558627 19.1407666131 0.102345629737 0.104700771163 1.0 0.104093060476 0 0
1061818994788361 2972 1236 24 20.6421309735 21.2673188562 20.6435024092 6.22969484275 15.2890907577 0.5033712746 0.516638141654 39.1384272514 35.372189766 0.102741580764 0.116967244124 1.0 0.115841490477 2 0
1061818994789609 2972 1236 24 20.7992955891 21.2654506459 20.8000730438 6.40002362013 13.4798583309 0.476756543905 0.426830545811 39.9774329179 39.65692232 0.103004874942 0.11700848244 1.0 0.116102585075 0 1061818994788361
1061818994787705 3671 1236 24 22.8939557897 23.4565951915 22.8949376233 5.09073933524 11.7874089675 0.710803570578 0.687895359758 38.4785830225 40.3627519132 0.142430045058 0.414942846923 1.0 0.40997929917 0 0
1061818994786904 3500 1236 24 20.8748106854 21.0838848704 20.870841234 2.34270341247 2.95622037645 0.904324281335 0.932831503839 11.7194666161 8.02384393693 0.103978537572 0.107927940154 0.979548549401 0.107311481536 2 0
1061818994788963 3500 1236 24 20.9017190768 21.0859997945 20.8886146474 2.33672805104 2.90514447391 0.901689228546 0.895953322731 11.1839697011 5.26017021554 0.104065321584 0.10793112233 0.933509243122 0.107321925639 0 1061818994786904
1061818994787823 2736 1236 24 21.9471047733 22.6817695876 21.9482506831 4.71830436677 13.490916095 0.730184376389 0.722967240757 32.3678239162 3.39830790193 0.110012318486 0.212399798547 1.0 0.208083649843 3 0
1061818994789336 2736 1236 24 22.5465894963 22.8185610094 22.3981884767 4.1733916156 7.94201450603 0.65062485847 0.649205984497 45.2601916812 44.5758064715 0.124813013891 0.215069239892 0.679240431252 0.21451873244 0 1061818994787823
1061818994788216 2722 1236 24 23.6567302717 23.732290542 23.3300394676 4.34774365415 8.82880144777 0.541850100934 0.430982325203 57.447855712 58.1817241279 0.220427890415 0.441474340406 0.213357136795 0.443002278099 0 0
1061818994786691 1725 1236 24 23.1658076297 23.3549578865 23.1323991313 3.05791103827 4.02408884964 0.475847031029 0.492758816924 10.0026954388 9.85734903506 0.176268871833 0.280138666904 0.855701245243 0.27912472697 0 0
