# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 58 176125  230.78 3028.96   0.27  -0.08  22.615  0.024  22.614  22.059  22.667   4.734   0.857  -3.338   5.156   0.805  -4.304  12.599   0.769  -4.810   0.000 0 0 0 0 0 1 
1236 58 175164 1478.63 2694.85   0.11  -0.13  21.237  0.021  21.331  20.897  21.271   4.098   0.932 -45.532   4.382   0.908 -43.299   8.753   0.897 -40.055   0.243 0 0 0 0 0 1 
1236 58  21918 1769.45 1811.09  -0.04  -0.09  20.465  0.020  21.090  20.368  20.856   6.307   0.589 -70.203   8.905   0.479 -66.871  26.782   0.430 -65.242   0.895 0 0 0 0 3 1 
1236 58  74151 1567.70 1390.13  -0.15  -0.02  22.724  0.024  22.723  22.324  22.767   4.771   0.711 -51.445   5.287   0.586 -50.159  11.296   0.455 -50.399   0.000 0 0 0 1061965023675260 0 1 
1236 58 150097 1688.89 2471.11  -0.02   0.03  22.691  0.025  22.691  22.436  22.770   3.546   0.815  36.710   3.299   0.732  34.632   4.931   0.697  30.404   0.000 0 0 0 1061965023675957 0 1 
1236 58 111706 1409.64 3935.74   0.18  -0.06  22.484  0.023  22.666  22.221  22.579   3.958   0.908  76.963   4.139   0.872  72.736   8.310   0.859  77.268   0.446 0 0 0 1061965023676904 0 1 
1236 58 128623 1697.11 3440.98  -0.58  -0.01  23.335  0.030  23.334  22.712     nan   5.054   0.794  11.841   5.610   0.740   7.926  14.946   0.713   2.882   0.000 0 0 0 0 0 1 
1236 58 122528  441.83  412.71  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 58 136050  969.31 2471.46   0.07  -0.09  21.170  0.021  21.226  20.849  21.189   4.140   0.795 -60.760   4.413   0.696 -59.416   8.261   0.648 -58.682   0.164 0 0 0 0 0 1 
1236 58 142883  338.65 2719.87  -0.17  -0.11  22.082  0.022  22.082  21.651  22.168   5.213   0.600  68.501   5.845   0.480  68.508  12.413   0.409  68.806   0.000 0 0 0 0 0 1 
