# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 43 134523  728.48  392.40  -0.29   0.51  22.572  0.025  22.581  22.115  22.569   4.409   0.791 -26.927   4.792   0.691 -24.673  10.396   0.623 -23.728   0.025 0 0 0 0 0 1 
1236 43 102668  106.60  262.61   0.22  -0.15  22.731  0.026  22.731  22.404  22.742   3.727   0.893 -45.649   3.719   0.775 -37.244   6.754   0.654 -29.799   0.000 0 0 0 0 0 1 
1236 43 109763  703.90 3231.22   0.09  -0.26  21.578  0.021  21.578  20.864  21.585   6.495   0.640 -11.549   8.124   0.546 -11.982  25.010   0.482 -11.612   0.000 0 0 0 1061900599166617 0 1 
1236 43   7031  647.00 1265.50   0.05  -0.17  22.182  0.023  22.352  21.913  22.355   3.935   0.964 -61.705   4.138   0.926 -51.402   8.375   0.884 -48.843   0.427 0 0 0 1061900599165554 0 1 
1236 43  80708  602.57  736.64  -0.06  -0.09  20.808  0.021  20.817  20.647  20.780   3.011   0.956  55.622   2.458   0.965  47.378   2.950   0.969  35.778   0.054 0 0 0 0 0 1 
1236 43 181356  503.54   53.95   0.18  -0.13     nan    nan     nan     nan     nan   3.323   0.898  27.474     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 43 155065  632.40 2597.03  -0.46  -0.24  23.018  0.030  23.040  22.610  23.066   4.676   0.683 -87.855   5.056   0.545 -86.408  10.759   0.443 -85.813   0.061 0 0 0 0 0 1 
1236 43 166506 1085.95 1531.70   0.06  -0.03  20.052  0.021  20.309  19.838  20.185   4.686   0.852 -30.376   5.571   0.774 -27.591  12.005   0.727 -25.399   0.577 0 0 0 1061900599165718 0 1 
1236 43  94482  488.24 3622.54   0.03  -0.08     nan    nan     nan     nan  19.429   5.167   0.943 -58.510     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061900599166851 0 1 
1236 43  44191 1635.13 3273.74   0.42  -0.12  21.707  0.021  21.849  21.269  21.734   4.716   0.875  81.637   5.286   0.840  83.866  12.944   0.829  82.891   0.289 0 0 0 1061900599166635 0 1 
1236 43 125133 1386.82 2443.81  -1.21  -1.00  21.671  0.021  21.670  20.932     nan   6.644   0.735  47.596   7.849   0.702  45.478  24.583   0.672  43.588   0.000 0 0 0 0 0 1 
1236 43  45879 1094.41 3113.77   0.06  -0.13  22.129  0.023  22.128  21.672  22.158   4.358   0.858  75.364   4.599   0.815  75.537   9.646   0.785  77.113   0.000 0 0 0 0 0 1 
1236 43  79838  596.32  122.51   0.06  -0.07  19.889  0.020  19.977  19.456  19.939   4.999   0.920   3.110   5.836   0.888   1.937  13.511   0.870  -0.840   0.194 0 0 0 0 3 1 
1236 43  56832 1027.47 3634.98  -0.34   0.13  23.013  0.031  23.095  22.834  22.997   3.710   0.789 -35.913   3.758   0.597 -34.868   6.088   0.461 -34.853   0.329 0 0 0 1061900599166865 0 1 
1236 43  89908 1822.09 1607.55  -0.05  -0.08  20.094  0.020  20.111  19.557  20.100   5.157   0.916 -53.325   6.095   0.876 -50.103  14.952   0.839 -47.481   0.039 0 0 0 0 0 1 
1236 43  33999 1856.96 3706.76  -0.51  -0.95  23.017  0.030  23.017  22.652     nan   4.613   0.624  47.848   4.983   0.464  45.364   9.928   0.349  43.869   0.000 0 0 0 0 0 1 
1236 43  47773 1985.71 2423.96   0.11  -0.09  23.141  0.031  23.148  22.728     nan   5.771   0.533  62.587   6.476   0.414  62.356  13.565   0.350  62.856   0.020 0 0 0 1061900599166160 0 1 
1236 43 153939 1346.13 2462.32  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 43   6038  912.41 3825.32  -0.14   0.13  23.131  0.033  23.166  22.849  23.133   3.990   0.755  85.219   3.918   0.659  86.615   6.562   0.616  85.985   0.119 0 0 0 0 0 1 
1236 43 194043 1833.86 1859.99   0.03   0.14  22.016  0.022  22.376  21.788  22.203   6.319   0.553  86.133   7.559   0.456  86.979  19.151   0.414  87.697   0.666 0 0 0 0 0 1 
1236 43  84160  354.54  771.87  -0.15  -0.18  22.424  0.024  22.424  22.220  22.850   3.677   0.763 -76.213   3.492   0.599 -73.951   4.983   0.503 -75.024   0.000 0 0 0 0 0 1 
1236 43  40159   70.94 2750.93   0.02   0.11  22.656  0.027  22.846  22.582  22.662   3.049   0.878  77.440   2.611   0.795  78.454   3.850   0.754  72.236   0.734 0 0 0 0 0 1 
1236 43 118821 1875.81  658.85   0.03  -0.25  22.067  0.022  22.067  21.460  24.477   5.252   0.759  83.274   6.093   0.673  85.686  16.365   0.592  87.119   0.000 0 0 0 0 0 1 
1236 43 187254 1984.54 1797.25   0.01  -0.01  22.682  0.027  22.682  22.575     nan   2.984   0.912  -8.311   2.481   0.760 -15.696   2.831   0.616 -20.943   0.000 0 0 0 0 0 1 
1236 43 146686  869.52 3631.34   1.79  -0.15     nan    nan     nan     nan     nan   3.227   0.839  21.687     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 43  14522  710.37 2158.94   0.50  -0.84     nan    nan     nan     nan  24.766   1.846   0.903  54.203     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061900599166035 0 1 
1236 43 106564 1398.62 2091.37   0.08  -0.16  23.204  0.034  23.204  22.891     nan   3.687   0.967  -3.781   3.531   0.934  -4.457   5.830   0.917 -13.134   0.000 0 0 0 1061900599165992 0 1 
1236 43 195594 1942.89 1641.23  -0.12  -0.15  21.465  0.021  21.491  21.183  21.475   3.520   0.961  62.371   3.325   0.967  47.875   5.481   0.920  35.184   0.094 0 0 0 0 0 1 
1236 43 178483 1324.50 3145.06  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 43  73319 1433.66 3376.39  -0.15  -0.35  21.871  0.022  22.022  21.477  22.033   4.344   0.965  71.775   4.815   0.940  53.678  11.346   0.907  47.870   0.321 0 0 0 0 0 1 
1236 43  26122  664.14 2063.05   0.22   0.10  21.855  0.022  22.423  21.856  21.767   3.859   0.898 -30.851   4.799   0.815 -25.657  11.153   0.780 -23.286   1.000 0 0 0 0 0 1 
1236 43  90843 1604.04 3595.60  -0.10   0.50  22.964  0.029  22.964  22.543     nan   4.390   0.780   4.948   4.653   0.662   5.172   9.672   0.581   4.966   0.000 0 0 0 0 0 1 
1236 43  90834 1784.47  234.66  -0.05  -0.06  22.757  0.028  22.758  22.610  22.717   2.841   0.907 -49.270   2.353   0.726 -47.287   2.765   0.675 -43.098   0.007 0 0 0 0 0 1 
1236 43  62200 1517.05  160.53  -0.19  -0.13  21.741  0.021  22.143  21.495  22.142  10.427   0.385 -25.726  11.862   0.353 -26.602  32.577   0.330 -26.349   0.676 0 0 0 0 2 1 
1236 43 112954  401.39  786.05   0.01  -0.36  23.086  0.030  23.086  22.697     nan   4.173   0.841 -51.736   4.263   0.739 -51.195   8.365   0.651 -52.521   0.000 0 0 0 0 0 1 
1236 43  63996  555.88 1241.46   0.07  -0.12  22.783  0.027  22.782  22.513  24.028   3.727   0.785 -52.676   3.639   0.620 -51.163   5.891   0.520 -51.254   0.000 0 0 0 1061900599165538 0 1 
1236 43 166029 1346.90 3331.30   0.08  -0.15  23.042  0.030  23.042  22.656  23.015   4.738   0.653  84.635   4.923   0.540  87.376   9.737   0.452  89.753   0.000 0 0 0 0 0 1 
1236 43  90461  696.75 2289.30  -0.07   0.16     nan    nan     nan     nan     nan   2.932   0.931 -12.745     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
